"Pheno1","Pheno2","Pheno3","Pheno4","Pheno5","Pheno6","Group"
0.713,0.626,0.612,0.695,0.785,0.829,"Group2"
0.136,0.136,0.091,0.06,-0.023,0.04,"Group2"
0.852,0.902,1.054,1.025,1.02,1.038,"Group3"
0.523,0.599,0.542,0.503,0.717,0.48,"Group3"
0.658,0.835,0.914,0.888,0.822,0.806,"Group3"
0.879,0.971,0.868,0.91,0.977,0.757,"Group3"
1.019,1.07,1.088,1.186,1.07,1.137,"Group3"
0.454,0.359,0.358,0.406,0.357,0.398,"Group3"
1.055,0.849,0.802,0.733,0.757,0.746,"Group3"
0.831,0.917,0.959,1.04,0.959,0.992,"Group3"
0.895,0.723,0.778,0.734,0.785,0.775,"Group3"
0.904,0.798,0.815,0.854,0.871,0.836,"Group3"
0.72,0.709,0.834,0.601,0.748,0.747,"Group3"
0.566,0.638,0.653,0.673,0.682,0.828,"Group3"
0.852,0.752,0.916,0.926,0.81,1.044,"Group3"
1.272,1.235,1.174,1.209,1.203,1.238,"Group3"
0.792,0.865,0.882,0.975,1.061,1.021,"Group3"
0.671,0.717,0.799,0.696,0.784,0.738,"Group3"
0.759,0.776,0.848,0.959,0.847,0.838,"Group3"
1.066,1.128,1.02,1.204,0.911,1.126,"Group3"
0.926,0.959,0.84,0.963,0.907,1.052,"Group3"
0.43,0.599,0.396,0.51,0.686,0.561,"Group3"
0.689,0.668,0.589,0.831,0.623,0.457,"Group3"
1.016,0.911,1.005,0.971,0.976,1.007,"Group3"
1.027,0.72,0.903,0.7,0.801,0.86,"Group3"
0.547,0.633,0.542,0.555,0.437,0.605,"Group3"
0.797,0.886,0.784,0.745,0.869,0.845,"Group3"
1.009,0.829,0.896,0.946,0.802,0.863,"Group3"
1.167,1.099,1.136,1.061,1.066,1.182,"Group3"
0.978,0.848,0.819,0.845,0.949,0.954,"Group3"
0.463,0.452,0.572,0.449,0.683,0.62,"Group3"
1.126,1.145,1.019,1.08,1.208,1.199,"Group3"
1.115,0.841,1.043,0.964,0.996,1.103,"Group3"
1.118,1.204,1.118,1.149,1.226,1.333,"Group3"
0.838,0.823,0.826,0.816,0.694,0.72,"Group3"
0.525,0.59,0.608,0.485,0.738,0.613,"Group3"
0.373,0.356,0.388,0.33,0.334,0.324,"Group3"
1.092,1.151,1.144,1.122,1.186,0.934,"Group3"
0.934,0.846,0.937,0.785,0.664,0.835,"Group3"
0.983,0.887,0.828,0.838,0.798,0.803,"Group3"
0.556,0.636,0.64,0.717,0.732,0.617,"Group3"
0.718,0.677,0.628,0.32,0.614,0.523,"Group3"
0.961,1.023,1.008,1.031,1.024,0.932,"Group3"
0.602,0.67,0.611,0.696,0.764,0.644,"Group3"
1.062,0.938,0.927,1.13,0.846,0.899,"Group3"
0.876,0.907,0.666,0.606,0.55,0.662,"Group3"
0.705,0.747,0.623,0.697,0.679,0.632,"Group3"
