,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49,gen50
sample11,10,10,10,7.216432146,9.326210628,9.715017098,7.822666423,8.485088133,10,6.259255502,4.162633547,8.496943709,4.424223266,3.149322305,6.579026938,3.643696353,3.272105509,4.482816449,3.846576597,7.715014236,10,1.372953708,3.349693445,4.876070711,0.537910293,5.70901605,3.330753781,5.435590357,0.86090595,4.273185225,4.312056393,4.575413862,0,4.268398551,6.98903949,1.165270198,2.930450051,9.939607591,2.135509674,0,0.879147724,0.663706787,8.69987776,3.459786656,4.205990763,0.383048769,2.63218104,3.834075721,3.886333034,0
sample12,7.419229863,9.285538989,6.945138782,5.552274529,5.448650008,6.742507542,3.823276413,10,10,9.31509996,4.575568048,8.546675868,8.716866084,7.736153228,5.993587398,7.260715592,9.354152697,10,6.422487783,6.533713097,6.516465442,7.322689837,0,5.724371519,0,5.238787704,0.900926605,3.044669783,4.068352103,7.5330482,2.721280557,4.794392082,4.346381656,2.787079569,0.034220278,3.747578767,2.609118197,3.177032344,2.227141975,4.263823657,0.381367856,1.44653769,2.150361592,0.651310163,1.795523464,0,0.206498831,3.446570185,0,0.473382731
sample13,6,6.628157215,9.251371404,9.181619979,7.094106325,5.5033708,8.879208943,4.156714054,9.422018508,7.960721457,10,6.336210647,8.247714304,5.533299655,3.019714758,4.372739574,4.005850177,2.873880762,9.343737689,6.096811078,6.433473161,1.544654903,5.099245409,3.85400274,4.907377753,0.046607546,5.696157811,0.919036252,4.596330089,1.992238344,3.617421601,2.142426343,3.922222343,4.214718614,0.771259032,3.312945507,2.756309834,1.99094402,2.90891584,1.712133677,3.37312153,2.29642095,1.045259164,2.067351822,2.957130523,0,3.246231977,3.033384267,1.07404351,4.148445249
sample14,5,8.553653188,9.517266531,9.750831434,6.581677498,7.189024293,5.67884799,5.708666074,10,4.081685756,6.281402156,5.853661797,7.104318055,7.564011335,2.399220112,3.108624301,6.195195945,0.86023448,5.688662078,5.692622299,9.574920097,0.957694336,10,1.169728956,5.976763961,2.536342899,2.860891754,5.955088722,5.896202258,0,3.747715168,0.369138242,4.798717836,3.80059037,3.668709806,3.461454655,1.300113333,5.660926178,1.290389103,1.399839466,0,5.341385769,3.450824185,4.612598208,1.713342679,3.137661867,2.543388858,4.48674373,0,0
sample15,4,7.297295159,9.589764168,9.083227862,10,9.882973191,7.439093441,5.120408951,7.174620243,10,7.945323456,8.646398088,5.847977815,3.55084598,6.63946532,6.358513981,9.329971429,8.481914489,0,5.264869312,3.088137064,1.642051678,0,4.412957937,4.668304709,2.354550946,3.627612242,3.176322648,4.291412777,1.565466296,4.492746486,3.577479613,2.329900996,0,2.894211429,0,7.692996019,4.207983454,2.092879689,6.093113923,2.873759624,0,0.350369336,3.529134277,4.362605621,3.39768996,1.800980002,0.842505078,3.710588759,0.050740397
sample16,3,10,9.565299703,5.205048073,10,5.873884452,6.472710321,8.15727607,6.206545642,8.03973546,5.394665396,9.207731763,6.908880027,5.682519191,7.640314457,9.555494174,3.302936321,3.345506793,4.587426221,5.382201765,4.090258284,6.35976392,6.222950284,3.415765468,2.642374857,2.333852616,3.337717087,1.207864499,0.585618333,2.372523391,1.364663763,6.169186174,0,2.98879002,0,2.516392723,6.72103086,0,3.583064235,6.054117971,4.431948986,1.055245772,4.068189043,4.561924581,5.035845107,2.199621733,0,2.596445958,6.195481767,0.233558919
sample17,2,6.001910671,9.308128744,10,10,9.615142905,8.037756941,5.414007189,1.636227946,7.087224675,5.255186935,4.397739804,5.17468342,3.286861378,7.129013722,8.364059811,3.784803131,1.594266361,3.183715516,3.567281966,1.941298607,2.898491172,10,0.165567312,2.271163263,6.60681833,0.756637217,3.839105471,3.559656156,2.30611305,1.817851863,0.781768394,1.055663158,0.1999674,2.292310007,0.501297079,0.180561267,2.77128405,2.697106175,1.066623139,1.290583377,6.950529124,3.927388203,1.543529412,1.304879574,0,3.398034986,0,0,3.537815506
sample18,1,10,8.942314857,9.434872956,10,4.859726882,2.283359683,7.013665681,7.958227054,7.40131676,3.436697123,2.630551135,3.832272058,4.332412106,8.361450416,6.48536191,5.731450295,2.893230699,2.968587958,0,7.370459326,4.045161934,1.882078672,1.201091533,3.531443059,1.823245625,2.31754661,3.758812935,0.401955825,4.379872874,2.689793182,2.14534962,1.107708883,0,2.778754839,3.140843256,1.790308797,4.085173703,1.961893696,2.034294263,4.933232119,6.413305915,6.637628017,2.271187308,0,2.34535661,0.616577469,3.06376747,3.106690857,1.564304458
sample19,0,10,8.674033879,8.33193805,8.138655488,3.208020353,10,3.012944242,10,2.514160533,7.09941146,7.441822108,4.240136192,2.693289786,8.099826747,0,9.851601251,4.176493839,4.582467213,0.288193083,4.655212745,8.3606408,0,6.423726068,5.116739261,0,0,2.977357223,1.406864723,1.337576781,5.443099857,2.939961404,0,2.304154797,1.446372675,2.199474507,2.297460011,0.880868669,0.73601957,2.347747155,0,4.895096854,0,3.851947803,0,1.457899692,2.989940019,0,3.525090266,4.110507851
sample20,0.1,10,9.882368157,8.265451194,5.973996723,6.614156452,7.21693628,5.915125079,8.585352242,4.411740778,5.387473656,5.410731866,8.29933196,2.058992116,6.160350676,4.257351749,0,4.187019389,7.205612241,2.875596301,5.09429375,3.696726068,5.809504829,3.653232384,3.332117585,4.369451744,4.050457356,0.903083665,3.363216241,1.572919471,2.502644486,7.449036813,4.334089911,6.887862588,0,0.780622227,2.949723181,1.929440936,0,3.181128864,2.96753089,0.899467991,0,7.416403793,1.305163102,1.972073368,2.604628971,0.389537217,1.471192811,4.640423985
sample21,0.01,7.642933873,5.774242536,7.856040193,10,5.666525031,10,5.382916903,6.693656525,5.468437382,6.567350693,9.135648368,10,6.172933361,6.808449841,6.271005487,4.99273929,7.520765423,4.797454482,4.446577561,2.207814072,5.238405206,1.238524125,5.826435603,0.175893135,0.851387937,2.317978448,3.661931387,5.735059374,1.19148003,3.83260497,6.001033231,5.189866491,2.727043202,6.705726655,1.309721755,0,4.316676578,0.987134083,2.08526893,3.295053332,3.834182906,0.641167491,1.446753671,2.670159011,3.886163839,1.749789556,2.690648087,0,3.704052585
sample22,0,0.01,5.531376553,6.152511592,9.39155875,0.017810248,3.29521978,4.166618856,8.500098912,6.690471023,7.437531653,5.444025037,5.536828883,2.726049294,4.771240647,4.843626179,8.045509293,4.93923755,10,0.427014911,1.076154115,3.339020054,7.858700522,3.79752705,7.044231782,5.812201905,6.135028218,3.488088821,1.965909161,6.265543846,0.649448524,2.673270919,2.587441837,2.70802616,4.681621283,0,0,0.012414016,5.706386932,6.267788361,5.398109488,1.321239355,4.761635954,0.292877053,4.262143603,0.410664674,2.568823826,0.659371313,0,2.294433443
sample23,0,4.80043599,8.127284157,10,9.477054728,7.660366701,4.913169549,2.347824868,9.943650221,3.737058101,9.141508758,4.381704965,6.670877131,7.623580325,9.37170071,6.00639218,4.472567442,0.827380299,7.358861957,4.059839336,6.402345547,1.062691551,3.186179282,3.78107029,4.340656162,9.528488201,2.420553099,6.830298659,1.560896,2.472678658,5.029055902,3.989700109,1.320823424,1.339366448,6.938355823,5.443510321,4.154261996,4.642207121,6.330604843,6.966898676,1.14622696,7.756571461,3.813713197,0,0,2.609990012,1.554180831,1.802313271,2.325968138,5.064545253
sample24,0,7.76394039,7.227624807,1.601647766,0.656825107,2.523680458,1.432784513,2.519375939,0.851249048,2.353898486,1.630263316,2.412042403,7.142404131,3.95501144,2.242667743,10,5.2989923,3.412158019,1.443284163,7.024877767,7.849613167,3.675478039,5.645488992,5.634170365,6.241140501,3.064306535,5.411626048,7.046885013,4.117423126,6.922011772,2.178903785,0,3.552230221,7.340957158,4.78240119,0,0,3.760854968,0.044591233,4.151613441,0,0,2.191455876,5.191003441,1.961847254,0.331347914,6.312222932,2.160452893,0,0
sample25,0,8.954953536,10,8.268351531,9.364030297,6.737037086,8.249663251,2.426179926,7.457393568,7.159622149,5.688616176,3.35623608,9.836183257,5.309100478,4.950827213,7.33793696,4.068405349,2.739137614,2.366995276,4.575841641,5.7088827,7.992166507,2.021073446,3.96959263,2.907080133,7.193942107,1.073302019,4.459133366,0,1.826768476,2.034440249,2.345174359,1.952600571,3.607072333,3.718160766,0,3.971183817,0.342169047,1.763190346,0.578069682,0.529225853,3.996061578,0,2.4017376,3.702900616,2.522927421,5.423320541,1.720675955,1.240703186,2.148119321
sample26,0,10,7.160543405,4.651798232,8.766379598,8.34486094,5.898369273,5.302037825,4.908672423,8.824540548,3.233037231,6.511862813,2.550762057,7.042700533,4.572003673,1.227088458,6.178533041,7.103016646,6.34076251,4.163818815,5.561175472,9.13632502,4.85996448,2.680179814,7.42646244,6.427527944,4.511564556,0.253888222,5.663238307,1.271213453,1.809515867,4.087904164,4.406982462,6.652383413,1.981731498,2.948952939,4.744113874,0.973417145,0.191897044,3.122905537,4.460023412,0.267456369,4.13512108,5.207331765,2.485799277,0,3.850231891,0.712006245,0,0.271158355
sample27,0,4.253975694,9.39078289,7.748756243,10,8.170139399,8.056787995,4.181209838,6.594584509,6.517570859,7.751300548,7.060019197,5.842615148,2.044293568,1.52153342,6.700221464,7.801858723,0,1.748659211,2.720822189,3.655359894,4.477111176,2.947338615,1.604226269,5.227755304,2.185590607,7.87448145,3.063223237,5.760842308,5.842449016,4.918153381,4.987341143,3.214574319,3.22774251,1.139897413,4.524905419,2.485669727,4.544697847,4.349997076,0,0.036596175,0,0,0,0.542331358,0.02638064,1.407614417,2.196690264,2.659298792,0
sample28,0,8.637030603,6.656599775,6.285187798,8.878418001,7.175970939,6.68477804,5.842815985,2.707726457,5.386255328,3.427194379,4.523999333,8.451884547,6.446252278,6.500017234,8.783062762,10,10,8.475849137,6.305207898,2.015028744,3.63416432,5.265724004,2.89618754,5.243575847,5.930990175,4.392821403,0.204155792,0.329387354,0,4.953649835,1.884138558,0,4.385405001,6.220713564,2.684224674,7.666903515,0,0,4.989498648,3.773929089,2.621378162,2.44478943,1.486306435,3.944038496,4.619040595,4.163363003,0,1.291899403,0.060297516
sample29,0,10,5.75303843,9.593374939,7.599822514,9.159479944,7.481132571,10,6.61111579,7.290252551,9.962646952,3.378310655,1.076969388,5.844192419,4.746044819,5.946222071,3.956098261,2.170071694,6.44480372,6.184509724,5.541420079,5.809864091,7.880977899,0,1.599001196,4.970265529,3.474993819,3.025037938,4.317741385,2.259207694,10,2.491308256,0,2.301143202,4.214130246,1.66604462,6.16076301,2.274189559,3.752606245,5.254661526,1.583433512,0,0,0,0,2.597367619,0,0.346232987,1.25184524,0
sample30,0,7.621130225,8.771487344,6.58741513,5.14480351,10,4.403361438,8.483095983,5.806350759,10,8.45595226,4.856268362,0.61975717,4.353353597,8.620715812,6.812777687,4.626984368,4.261742346,2.610341722,4.127820664,5.04288621,1.854898812,5.417844193,2.637542894,0.865708205,6.181183618,5.532692666,3.448047374,7.349163999,0.174986562,0,2.474791293,2.314465907,4.878979313,2.067405583,6.995431577,4.704853376,3.540199777,1.095256533,0,4.668296249,0,0,2.313028831,2.998222243,0,0,4.551873921,1.101198075,0
sample31,0,2.64386241,8.20219776,10,3.185291593,6.41314048,9.898810931,6.611098646,5.386345477,5.710901708,10,3.432461349,5.172416585,9.059837487,2.574113296,5.919013709,5.061255622,4.787804879,4.834685088,2.045954982,0.017128911,0,2.69340151,5.742035408,4.284455091,0.805859091,4.745426154,3.23095479,3.512410233,5.487539773,3.946609094,7.905087768,0.176679966,4.583595226,2.461860025,8.133762264,6.208457086,6.586620851,2.143676755,2.351255215,6.82271972,6.096592221,1.78707698,0,0.96562287,4.185237739,0,0.75723332,1.351180951,0
sample32,0,9.962423685,7.866600689,4.973233686,10,8.75645542,8.787134084,8.102368548,6.510697185,2.385608219,3.882625375,5.277113657,4.741887962,8.556458309,5.797866444,7.436363574,6.807738388,5.005870565,5.851728665,6.182459818,2.08624692,4.33256526,7.835764052,5.298486794,1.593872986,4.833160292,4.898295905,1.199359609,6.984393216,5.63629941,2.638451273,0,4.491538803,0.591116115,4.111129691,6.10672605,3.779164247,0.343028904,1.579647275,1.303543188,0,0.763117344,2.490300049,4.350984461,3.544151056,2.041835836,2.388572524,0.192800665,0,2.490259556
sample33,0,5.919431912,6.164015553,5.822666936,8.715732999,5.87415554,8.140087454,9.034668427,8.574710005,10,3.02601075,6.754172281,6.522988428,5.636307884,9.279932005,8.067310782,5.504815189,9.725454976,0.302036957,6.831544831,3.253483821,6.760405724,4.463415823,5.262703601,4.283204817,3.654835888,5.136198639,2.835433044,3.902415069,1.309870646,3.354052621,5.244013327,5.505919717,0.737193488,3.892939564,4.323741288,4.247515297,0.095763119,10,1.469442027,0,6.723304824,0.025506633,0,2.121122652,3.724568384,2.277045139,4.130476165,0.486076181,2.01395559
sample34,0,10,10,6.434860371,8.218664132,6.414796917,6.394202152,5.821090285,10,1.821060649,5.243606291,8.247236742,6.018539686,8.223590605,6.567204068,3.539359148,9.123286081,0.280333897,4.736427954,2.289328471,5.499036718,7.064985325,3.778549457,2.002572987,3.960637507,1.186618149,0,1.795210759,7.292734006,0.231908024,1.756536137,2.546201972,4.003638518,0,5.051899638,6.438348247,2.761663419,2.641474436,0.543288842,3.296894877,2.302805874,2.47211286,0,3.592152746,4.934567551,1.469465591,2.753302378,0.229489665,0.283839987,4.803630077
sample35,0,8.039450952,9.000550966,3.457516602,8.090221708,7.096708203,10,5.386027713,7.383363766,5.25926976,5.698096714,4.232008683,2.381457737,10,8.218137032,8.236654566,6.537927183,6.418249125,5.283207581,3.436704508,3.246074228,6.974850314,1.887711592,4.917936009,6.524907225,7.538580791,4.46395552,8.163736392,3.84935851,1.873671223,3.633679264,2.566084726,3.85165753,1.270787436,4.779726042,0.514253453,4.740048206,3.232392712,3.704124875,2.333665721,5.359613018,0,4.297349523,1.403798596,0,2.919258989,1.80598747,2.443089639,2.766183255,6.095045395
sample36,0,5.654006725,6.017018155,7.152845943,7.207355527,10,8.665188541,10,8.76153919,1.187592083,5.611609518,8.79930844,3.705831703,3.511022567,1.960929412,7.022512791,5.020372539,6.409012062,6.853418829,7.570894372,2.492167275,4.909670189,8.601193703,4.234355652,1.212099753,4.558942923,5.671892025,3.816839176,2.306273137,6.390547892,5.796172411,5.214157786,0.636773723,5.070545839,4.041722843,5.258039926,6.336359337,5.852650068,2.3230967,7.030513145,1.257760723,3.584960262,7.149714838,1.993506455,2.545693791,2.401554588,4.806632104,3.118980913,0,2.922289509
sample37,0,10,10,10,6.822826695,10,5.223440486,5.759339512,4.127366406,6.755843296,8.457604431,7.247959844,4.904697842,7.378460019,5.456605493,7.015353496,5.551757931,4.082600947,5.522216576,7.744205279,2.801631141,6.852387844,0.599244485,5.308978826,4.237985778,4.499095433,5.067149842,3.88690147,8.861702963,7.458540346,6.075052415,5.067536264,2.302689041,1.684537378,1.000157305,0.178430077,0.963093559,2.015313883,3.725264136,3.685224836,4.310700161,6.485253814,7.629121013,7.257603167,4.115840323,4.844558848,3.531909228,4.701345267,1.464102974,6.571027497
sample38,0,10,9.966216111,3.339070988,8.672806142,10,10,5.746871483,9.951869777,3.251658266,2.919813579,8.189755417,4.876214056,8.525602842,6.714916639,5.373832929,2.729943072,9.547241035,6.483430344,4.919369599,7.146209535,4.374742056,7.781734627,0.441340261,2.940664388,5.680524327,3.07468372,0.305285346,6.196104718,4.205258364,2.104240281,1.286396679,2.228732543,1.643277628,10,4.244256678,0,8.033606166,5.064082525,2.566865685,10,2.490452611,6.795763114,2.03222185,3.634301161,10,1.69683877,2.356647158,4.006496804,1.479268777
sample39,0,9.061671247,8.427801994,10,6.207716488,5.847073522,9.612051035,9.625741595,7.019588237,10,3.727506634,1.11592448,7.0032733,8.27201381,9.244258951,6.664372166,5.631424616,4.25706373,5.410290735,0.945529085,5.566447518,1.332591755,8.299675569,4.87914411,2.091536001,4.270668572,6.610405298,0.920061878,4.167199784,0.680293564,5.314737014,0,2.255202004,1.871866919,3.653654504,0,3.042642819,3.245665065,5.172218164,2.371360606,2.711250868,1.429552904,7.25947773,1.470492427,1.589616252,4.353806164,5.45549154,1.456279698,3.148747451,0
sample40,0,0.184609054,0.399281207,1.70097158,2.737657394,2.674914831,0.404167825,1.342215266,1.488302168,1.518571738,2.200230095,8.503395623,4.886676755,8.289166341,3.431087583,6.095478395,6.643374403,0.892737732,3.809450249,6.913696198,2.996049757,2.931195229,1.378164699,4.093807048,2.553517584,2.521728384,2.183512057,6.035463953,1.459150246,4.213861847,6.529856266,3.113217028,1.28580769,0,4.007571928,0,0,4.424000712,3.514752393,2.888139593,3.351232281,5.157108173,6.855490621,1.636705713,2.898989995,1.727025287,5.231381117,2.771452931,5.82924438,3.051786232
