genome_a,genome_b,edge,Phylogenetic distance (GTDB),Functional distance (KO jaccard),category
MAGsDB_TARA_PSE_MAG_00010,MarDB_Prochlorococcus_sp_scB243_495K23,0,3.332160164,0.663789869,unlinked
MAGsDB_PAJD01,MAGsDB_PAAY01,0,1.798822727,0.599177801,unlinked
MAGsDB_TARA_PSW_MAG_00067,MAGsDB_PBEX01,0,2.269307813,0.664466447,unlinked
MAGsDB_PACZ01,MAGsDB_DEAI01,0,2.621372237,0.673249551,unlinked
MarRef_Prochlorococcus_marinus_bv_HNLC2,MarDB_GCF_003788585.1_ASM378858v1,0,3.089343674,0.649328859,unlinked
MarDB_Microbacteriaceae_bacterium_strain_strain_Alg239_V181,MarRef_Prochlorococcus_marinus_subsp_pastoris_str_CCMP1986,0,3.023781662,0.654142146,unlinked
MarRef_Celeribacter_manganoxidans_strain_DY25,MAGsDB_TARA_RED_MAG_00052,0,3.274429741,0.711587983,unlinked
MarDB_Bacteroidetes_bacterium_strain_Spr30G08_bin33,MarDB_Prochlorococcus_sp_AG-347-K16,0,3.275498227,0.626538256,unlinked
MarDB_Pelagibacteraceae_bacterium_AG-325-E13,MAGsDB_TARA_ANW_MAG_00040,0,2.059107654,0.625895599,unlinked
MarDB_Alphaproteobacteria_bacterium_MarineAlpha5_Bin5,MAGsDB_NHBS01,0,1.164427227,0.525810324,unlinked
MAGsDB_NZGC01,MarRef_Planktomarina_temperata_RCA23,0,2.554603577,0.542272906,unlinked
MarDB_Prochlorococcus_sp_AG-363-A16,MAGsDB_DALZ01,0,2.917484227,0.805571031,unlinked
MAGsDB_PAYK01,MarDB_Pelagibacteraceae_bacterium_AG-390-D18,0,3.036552487,0.692826487,unlinked
MAGsDB_DCQE01,MAGsDB_TARA_RED_MAG_00004,0,2.29851664,0.597215316,unlinked
MarDB_GCA_003331605.1_ASM333160v1,MAGsDB_PAHB01,0,1.712635624,0.62109375,unlinked
MAGsDB_DBTD01,MarDB_Rhodobacteraceae_bacterium_ASP1004a,0,2.314034807,0.583112457,unlinked
MAGsDB_TARA_MED_MAG_00136,MAGsDB_NZXU01,0,1.315159114,0.580202312,unlinked
MAGsDB_DCQB01,MAGsDB_NZED01,0,2.501015754,0.654181185,unlinked
MAGsDB_NZZE01,MarDB_Roseovarius_mucosus,0,2.908306894,0.65872706,unlinked
MAGsDB_DAPP01,MAGsDB_NZED01,0,2.736643227,0.818507157,unlinked
MAGsDB_DKFX01,MAGsDB_PAPJ01,0,2.541182237,0.619816674,unlinked
MAGsDB_DANX01,MAGsDB_PBRS01,0,3.067197227,0.771554437,unlinked
MarRef_Synechococcus_sp_WH_7803,MAGsDB_DAHL01,0,2.394353227,0.847695391,unlinked
MAGsDB_TARA_MED_MAG_00069,MarRef_Formosa_sp_Hel3_A1_48,0,2.477049095,0.593495935,unlinked
MarDB_GCA_003331225.1_ASM333122v1,MAGsDB_DDCY01,0,2.315752097,0.667782027,unlinked
MAGsDB_TARA_IOS_MAG_00017,MAGsDB_DAHO01,0,2.992392784,0.800687285,unlinked
MAGsDB_TARA_PON_MAG_00033,MarRef_Prochlorococcus_marinus_str_MIT_9312,0,3.391785514,0.791938998,unlinked
MAGsDB_TARA_ANW_MAG_00035,MAGsDB_PBOD01,0,1.685647184,0.619941594,unlinked
MAGsDB_PBVT01,MAGsDB_DGAM01,0,1.846661027,0.63078959,unlinked
MAGsDB_PAQM01,MAGsDB_DDIH01,0,2.758847754,0.614185922,unlinked
MarDB_Salegentibacter_mishustinae_strain_DSM_23404_1,MAGsDB_TARA_PON_MAG_00015,0,1.993273534,0.600414938,unlinked
MAGsDB_TARA_ASW_MAG_00008,MarDB_Pseudoalteromonas_sp_BSi20311,0,2.318614821,0.526739927,unlinked
MAGsDB_PABG01,MarRef_Erythrobacter_sp_YH_07,0,2.047697678,0.580987352,unlinked
MAGsDB_PARX01,MarDB_Porticoccaceae_bacterium_UBA3436,0,2.383146827,0.592980857,unlinked
MAGsDB_TARA_PSW_MAG_00021,MAGsDB_NZZG01,0,1.576173744,0.746847268,unlinked
MAGsDB_DIIG01,MAGsDB_DKOR01,0,1.968542227,0.629955947,unlinked
MAGsDB_NZSA01,MAGsDB_TARA_ANE_MAG_00011,0,1.095731614,0.538622129,unlinked
MAGsDB_DFPC01,MarDB_Citreicella_sp_SE45,0,1.504539545,0.516173913,unlinked
MAGsDB_NZAO01,MAGsDB_PBDJ01,0,2.19055945,0.666847531,unlinked
MAGsDB_DDII01,MAGsDB_TARA_ION_MAG_00022,0,2.424160014,0.55075594,unlinked
MAGsDB_DCQB01,MAGsDB_DEYT01,0,2.444659754,0.619460941,unlinked
MAGsDB_DLTP01,MarDB_Prochlorococcus_sp_AG-402-P16,0,2.430086794,0.700394218,unlinked
MAGsDB_PBWW01,MAGsDB_TARA_PSW_MAG_00077,0,2.00877827,0.829405163,unlinked
MAGsDB_DHZF01,MAGsDB_DDJT01,0,3.131999327,0.691363851,unlinked
MAGsDB_PBWW01,MAGsDB_PBFM01,0,2.125350854,0.790131168,unlinked
MAGsDB_PBEP01,MarDB_GCA_003671475.1_ASM367147v1,0,2.164456814,0.76296018,unlinked
MarDB_Pelagibacteraceae_bacterium_AG-404-P07,MAGsDB_PAME01,0,3.036862237,0.692435119,unlinked
MarDB_Salipiger_nanhaiensis_strain_DSM_27508,MAGsDB_PANK01,0,1.161387427,0.364730878,unlinked
MAGsDB_TARA_PSE_MAG_00038,MarDB_Erythrobacter_sp_EhN03,0,1.770206788,0.491920152,unlinked
MAGsDB_PBFM01,MarRef_Prochlorococcus_marinus_str_MIT_9215,0,2.929468427,0.689655172,unlinked
MAGsDB_PAND01,MarDB_Nitrosopumilus_sp_Nsub,0,2.672324186,0.838992333,unlinked
MAGsDB_DBZA01,MAGsDB_TARA_RED_MAG_00011,0,1.903657409,0.645190157,unlinked
MAGsDB_DIHT01,MarRef_Euzebyella_marina,0,2.538811254,0.585635359,unlinked
MarRef_Zunongwangia_profunda_SM-A87,MAGsDB_TARA_RED_MAG_00092,0,2.514341354,0.653698162,unlinked
MAGsDB_NHDV01,MAGsDB_DAHO01,0,3.023738137,0.797759801,unlinked
MAGsDB_NZYO01,MAGsDB_DBTD01,0,1.169035307,0.591352859,unlinked
MAGsDB_TARA_ANE_MAG_00057,MAGsDB_PBPR01,0,2.594265253,0.835602622,unlinked
MarDB_Prochlorococcus_sp_AG-402-B05,MAGsDB_PBGL02,0,3.284291471,0.798734905,unlinked
MAGsDB_TARA_ANE_MAG_00015,MarDB_GCA_003504155.1_ASM350415v1,0,1.962334048,0.762557078,unlinked
MAGsDB_PAIS01,MAGsDB_TARA_PSW_MAG_00042,0,2.545891594,0.622498888,unlinked
MAGsDB_PBWG01,MAGsDB_PBKA01,0,2.501401597,0.69851632,unlinked
MAGsDB_PABA01,MarRef_Alteromonas_australica_H_17,0,1.849170417,0.570302648,unlinked
MarDB_Leeuwenhoekiella_palythoae_strain_DSM_19859,MAGsDB_NYWG01,0,2.513515097,0.621459227,unlinked
MAGsDB_TARA_ION_MAG_00004,MarDB_Pseudoalteromonas_lipolytica_UCD-48B,0,1.055635744,0.498066784,unlinked
MAGsDB_DACD01,MAGsDB_DCCD01,0,2.462600018,0.794858871,unlinked
MAGsDB_PAPY01,MAGsDB_DAMG01,0,2.200673747,0.798738833,unlinked
MAGsDB_PCCU01,MAGsDB_PANC01,0,2.520547727,0.67802385,unlinked
MAGsDB_DKPX01,MarDB_Pseudoalteromonas_sp_BSi20311,0,2.052961205,0.686360321,unlinked
MAGsDB_TARA_ANE_MAG_00043,MarDB_Vibrio_sagamiensis_NBRC_104589,0,2.625886174,0.71239607,unlinked
MAGsDB_TARA_RED_MAG_00045,MarRef_Thalassolituus_oleivorans_MIL-1,0,2.097722206,0.608494208,unlinked
MarDB_Synechococcus_sp_AG-679-B05,MAGsDB_TARA_ION_MAG_00033,0,2.964762752,0.831882481,unlinked
MarDB_Prochlorococcus_sp_AG-347-C10,MAGsDB_NZEX01,0,2.690789803,0.729990357,unlinked
MAGsDB_DJZU01,MAGsDB_DJIA01,0,1.418652127,0.580528224,unlinked
MarDB_Prochlorococcus_sp_AG-418-O03,MAGsDB_DJMC01,0,2.663730444,0.712982833,unlinked
MarDB_Pelagibacteraceae_bacterium_AG-349-L17,MAGsDB_DCQR01,0,2.459737599,0.638297872,unlinked
MarDB_SAR116_cluster_bacterium_AG-447-C21,MAGsDB_DDCY01,0,2.650575577,0.669502911,unlinked
MAGsDB_DEBI01,MAGsDB_NZUH01,0,2.265429315,0.611356467,unlinked
MAGsDB_DCWM01,MAGsDB_DLRJ01,0,1.369984567,0.602101116,unlinked
MAGsDB_DCCB01,MAGsDB_TARA_IOS_MAG_00012,0,2.179845114,0.654545455,unlinked
MAGsDB_PARQ01,MAGsDB_DLRN01,0,0.729092227,0.447447447,unlinked
MarDB_Citreicella_marina_strain_DSM_26424,MarDB_Pelagibacteraceae_bacterium_AG-426-M19,0,2.163326688,0.636572303,unlinked
MarDB_alpha_proteobacterium_SCGC_AAA536-K22,MAGsDB_DCWQ01,0,2.482195427,0.670633032,unlinked
MAGsDB_PBTN01,MAGsDB_DAUW01,0,2.674560097,0.828812962,unlinked
MAGsDB_DAPT01,MAGsDB_TARA_RED_MAG_00021,0,2.150671184,0.650075415,unlinked
MarDB_Prochlorococcus_sp_AG-347-C10,MarDB_Candidatus_Pelagibacter_ubique_HIMB083,0,3.549576024,0.677251732,unlinked
MarDB_Rhodobacteraceae_bacterium_O3.65,MAGsDB_DBSW01,0,3.105239427,0.69682059,unlinked
MAGsDB_NZHP01,MarDB_Pelagibacteraceae_bacterium_AG-426-P20,0,2.269982816,0.621067031,unlinked
MAGsDB_PBYB01,MarDB_Euryarchaeota_archaeon_strain_RS392,0,2.690118584,0.848195002,unlinked
MAGsDB_DAPP01,MAGsDB_PBMO01,0,0.597803726,0.410867493,unlinked
MAGsDB_DIBD01,MarDB_Candidatus_Pelagibacter_sp_HTCC7211,0,2.434147344,0.623413258,unlinked
MarDB_Prochlorococcus_sp_AG-436-A04,MAGsDB_PBKH01,0,2.681598227,0.678571429,unlinked
MarDB_Methylophilales_bacterium_HTCC2181,MAGsDB_PAPI01,0,2.700981767,0.621112158,unlinked
MAGsDB_TARA_MED_MAG_00043,MAGsDB_DCLA01,0,2.134526774,0.689627553,unlinked
MAGsDB_PAEP01,MAGsDB_NZOB01,0,2.789968227,0.714795009,unlinked
MAGsDB_PBFL01,MarDB_Prochlorococcus_sp_AG-347-K16,0,3.381265214,0.66532721,unlinked
MarDB_Prochlorococcus_sp_scB243_498B22,MarDB_Pseudoalteromonas_sp_3D05,0,3.013423894,0.686139748,unlinked
MarDB_Nitrosopumilus_sp_BACL13_MAG-121220-bin23,MAGsDB_DGPX01,0,2.491256966,0.833698031,unlinked
MAGsDB_PBUF01,MAGsDB_TARA_MED_MAG_00012,0,1.338530074,0.504118616,unlinked
MAGsDB_TARA_MED_MAG_00040,MarDB_Prochlorococcus_sp_AG-355-M18,0,3.056565814,0.71680376,unlinked
MarRef_Pseudodesulfovibrio_profundus_strain_500-1,MarDB_Prochlorococcus_sp_AG-388-F11,0,2.666133987,0.666088465,unlinked
MAGsDB_PBHR01,MAGsDB_TARA_PON_MAG_00038,0,2.489248934,0.821487603,unlinked
MAGsDB_NZMY01,MarDB_Candidatus_Pelagibacter_HTCC1002,0,2.140404774,0.605855856,unlinked
MAGsDB_TARA_MED_MAG_00021,MAGsDB_DKGH01,0,2.213504196,0.591363876,unlinked
MarRef_Idiomarina_sp_OT37-5b_MMP08606195,MarDB_Prochlorococcus_sp_AG-347-K15,0,2.970808227,0.712167466,unlinked
MAGsDB_TARA_ION_MAG_00023,MAGsDB_PAAV01,0,2.033868914,0.715827338,unlinked
MAGsDB_TARA_MED_MAG_00042,MAGsDB_TARA_ANE_MAG_00001,0,1.501792438,0.462130178,unlinked
MarDB_Nitrosopelagicus_sp_REDSEA-S31_B2,MAGsDB_PBDW01,0,2.124421473,0.821195974,unlinked
MAGsDB_TARA_ANE_MAG_00028,MAGsDB_PAME01,0,3.054146234,0.699944843,unlinked
MAGsDB_PACC02,MarDB_GCF_003730275.1_ASM373027v1,0,1.384292494,0.540352505,unlinked
MAGsDB_PATZ01,MarDB_GCA_003385605.1_ASM338560v1,0,3.218171934,0.772231784,unlinked
MarDB_GCA_003523885.1_ASM352388v1,MAGsDB_DGQA01,0,2.155727744,0.607410882,unlinked
MarDB_Prochlorococcus_sp_AG-347-K18,MAGsDB_PBYP01,0,3.005803907,0.694421657,unlinked
MAGsDB_PBNM01,MarDB_Rhodobacteraceae_bacterium_REDSEA-S02_B3,0,2.785965884,0.665118679,unlinked
MarDB_GCA_003331265.1_ASM333126v1,MAGsDB_PABM01,0,0.692153024,0.436666667,unlinked
MAGsDB_PBFH01,MAGsDB_DDIM01,0,0.938702227,0.567233385,unlinked
MarDB_GCA_003491725.1_ASM349172v1,MarRef_Candidatus_Pelagibacter_sp_IMCC9063,0,1.794333404,0.575284091,unlinked
MAGsDB_DEYL01,MAGsDB_TARA_ION_MAG_00009,0,2.618663147,0.609335363,unlinked
MAGsDB_PAVR01,MAGsDB_NHDO01,0,2.189679984,0.640656064,unlinked
MarDB_Labrenzia_sp_C1B10,MAGsDB_TARA_ANW_MAG_00042,0,2.301934324,0.688400824,unlinked
MAGsDB_TARA_ION_MAG_00023,MAGsDB_PAZC01,0,1.942678814,0.620885358,unlinked
MAGsDB_NZLU01,MAGsDB_PBTH01,0,2.868543127,0.811295972,unlinked
MAGsDB_NZFW01,MarDB_Halomonas_lionensis_RHS90,0,2.665070227,0.729295426,unlinked
MAGsDB_PBYS01,MarDB_Pelagibacteraceae_bacterium_AG-447-N18,0,2.576872237,0.67047532,unlinked
MarDB_Pseudomonas_marincola_strain_JCM_14761,MAGsDB_PABS01,0,2.160485828,0.559459459,unlinked
MAGsDB_TARA_MED_MAG_00117,MAGsDB_TARA_PSW_MAG_00077,0,2.183809302,0.639229422,unlinked
MAGsDB_TARA_ASW_MAG_00008,MarDB_Prochlorococcus_sp_AG-409-L18,0,2.882861844,0.649722341,unlinked
MAGsDB_PBCY01,MAGsDB_PAFB01,0,1.518202227,0.601914414,unlinked
MAGsDB_NYYX01,MAGsDB_DEAI01,0,2.181722227,0.72054899,unlinked
MarDB_Dokdonia_donghaensis_MED134,MAGsDB_DHZF01,0,3.112943114,0.615676359,unlinked
MAGsDB_NZVQ01,MarDB_Pseudoalteromonas_sp_520P1_No._423,0,2.323640227,0.714119472,unlinked
MAGsDB_TARA_PSW_MAG_00049,MAGsDB_NZXU01,0,2.651130242,0.701042041,unlinked
MAGsDB_TARA_RED_MAG_00028,MarRef_Synechococcus_sp_CC9605,0,2.545277389,0.667367315,unlinked
MarDB_SAR116_cluster_bacterium_AG-390-L20,MarDB_Pelagibacteraceae_bacterium_AG-319-F18,0,1.817432207,0.565265487,unlinked
MAGsDB_PBGD01,MAGsDB_DFMJ01,0,3.07795515,0.686387686,unlinked
MAGsDB_PATZ01,MAGsDB_NZUQ01,0,2.495510067,0.795362903,unlinked
MAGsDB_PBFG01,MarDB_OCS116_cluster_bacterium_AG-390-A19,0,2.92852062,0.618821936,unlinked
MAGsDB_DIIG01,MAGsDB_TARA_PSE_MAG_00077,0,2.772541274,0.623513266,unlinked
MAGsDB_TARA_MED_MAG_00014,MarDB_Oceanicaulis_alexandrii,0,2.497403903,0.600886025,unlinked
MAGsDB_TARA_ION_MAG_00041,MAGsDB_DJYU01,0,2.72323826,0.630938586,unlinked
MAGsDB_PBQI01,MarRef_Erythrobacter_sp_YH_07,0,1.172059614,0.575348075,unlinked
MAGsDB_TARA_MED_MAG_00039,MAGsDB_DDEH01,0,2.844125027,0.632086168,unlinked
MAGsDB_DBIA01,MAGsDB_NHFA01,0,2.61712486,0.766719326,unlinked
MAGsDB_PAYI01,MAGsDB_PALD01,0,0.547202227,0.43867458,unlinked
MAGsDB_NZWG01,ProGenomes_575788_PRJEA32815,0,2.402461135,0.728351955,unlinked
MAGsDB_DEAU01,MAGsDB_PBWL01,0,0.975620303,0.42662116,unlinked
MAGsDB_PBFD01,MarDB_Prochlorococcus_marinus_MIT_9201,0,2.800721829,0.626173385,unlinked
MAGsDB_PBTN01,MAGsDB_DELD01,0,1.088945097,0.596055515,unlinked
MAGsDB_DEYT01,MarDB_Alphaproteobacteria_bacterium_MarineAlpha5_Bin12,0,2.500345227,0.628720627,unlinked
MarDB_Pelagibacteraceae_bacterium_AG-422-B15,MarDB_Pseudoalteromonas_sp_H105,0,2.073633828,0.705953827,unlinked
MAGsDB_TARA_PSW_MAG_00100,MAGsDB_NZGY01,0,2.878935214,0.717672414,unlinked
MarDB_Prochlorococcus_sp_AG-418-M08,MAGsDB_TARA_RED_MAG_00009,0,2.915872064,0.597686375,unlinked
MAGsDB_PBNP01,MAGsDB_DBHQ01,0,2.487167474,0.74049217,unlinked
MarDB_Synechococcus_sp_WH_8109,MAGsDB_NYUE01,0,2.358876089,0.632267442,unlinked
MarDB_Vibrio_caribbenthicus_ATCC_BAA2122,MAGsDB_PBGL02,0,2.593356771,0.845115453,unlinked
MAGsDB_NZHT01,ProGenomes_1235558_PRJNA175917,0,2.374444286,0.672280229,unlinked
MarRef_Synechococcus_sp_KORDI-100,MarDB_Prochlorococcus_sp_AG-418-I20,0,0.877302227,0.339953271,unlinked
MAGsDB_PAUJ01,MAGsDB_PBLL01,0,2.601682227,0.693600868,unlinked
MAGsDB_PAFH01,MAGsDB_TARA_ANW_MAG_00040,0,2.100354054,0.653988378,unlinked
MarDB_Pseudoalteromonas_distincta,MarDB_Pelagibacteraceae_bacterium_AG-430-I06,0,2.171231748,0.72930561,unlinked
MAGsDB_DEBO01,MAGsDB_PBEW01,0,2.474701314,0.66503268,unlinked
MarDB_Prochlorococcus_sp_AG-670-O07,MAGsDB_DJLW01,0,3.023245804,0.731300813,unlinked
MAGsDB_NZED01,MarDB_Marinomonas_sp_Cmf_18.22,0,2.378258227,0.669954209,unlinked
MarDB_Alcanivorax_jadensis_T9,MAGsDB_DCQA01,0,0.990068217,0.573909172,unlinked
MarRef_Prochlorococcus_sp_MIT_0604,MarDB_Prochlorococcus_sp_scB243_495L20,0,0.027316282,0.07630814,unlinked
