Phen1,Phen2,Phen3,Phen4,Phen5,Phen6,Phen7,Phen8,Phen9,Phen10,Phen11,Phen12
0.553917654,0.117646597,-0.414339948,-0.219050379,-0.463987243,1.110277097,-0.273248107,-0.875255477,0.226324942,0.886749037,0.797600658,0.784170879
-0.061911711,-0.947474614,-0.476246895,0.168065384,0.825379863,-0.484987597,-0.46869978,0.941165807,0.748081162,0.33336997,1.843266255,2.299619361
-0.305962664,-0.490557444,-0.788602838,1.168383873,0.510132547,0.230616831,0.704167284,0.170588082,1.061095253,-0.170639618,1.246423909,0.156702987
-0.380471001,-0.256092192,-0.594617267,1.054181023,-0.589481039,-0.295157801,-1.197363502,-1.063497906,-0.212848279,0.818828137,-0.131874912,0.046733528
-0.694706979,1.843862005,1.650907467,1.14526311,-0.996780742,0.871964954,0.866366132,-1.388049048,-0.093636794,0.388365163,0.477037238,0.096585834
-0.207917278,-0.651949902,-0.054028125,-0.577468001,0.144475705,-0.348472449,0.864152486,2.086717434,-0.086714135,-0.445935027,-0.971994211,0.069766231
-1.265396352,0.235386572,0.119245236,2.00248273,-0.014307413,0.518503766,-1.198622359,-0.678503145,1.441461756,0.231114934,-0.185202169,-1.848472775
2.168955965,0.07796085,0.24368743,0.066700871,-1.790281237,-0.390684979,0.639491998,-1.855571654,1.125071892,0.647513358,1.220963708,-1.671127059
1.207961998,-0.961856634,1.232475878,1.866851845,0.034551067,-1.092787209,2.430226652,0.533259363,0.834401568,0.356283345,0.541284143,-0.077538967
-1.123108583,-0.071308086,-0.516063831,-1.350902686,0.190230316,1.21001051,-0.557215482,0.310230256,-0.2873408,-0.658010208,0.457357332,-0.581067381
-0.402884835,1.444550858,-0.99250715,0.020983586,0.174726397,0.740900011,0.844904241,-1.353834336,0.373241434,0.855202205,-1.03813104,0.054736525
-0.466655354,0.451504053,1.675696932,1.249914571,-1.055017043,1.724262239,-0.782201846,-1.942956414,0.403290331,1.152936226,-0.60451323,-2.111208373
0.779965118,0.041232922,-0.441163217,-0.715242187,0.476133278,0.065153933,1.110711418,-0.116302517,-1.041673294,0.276274557,-0.764606014,-1.498698255
-0.083369066,-0.422496832,-0.72306597,-0.752688968,1.378570137,1.125002746,0.24982472,1.139396292,-1.728304515,0.144104662,0.39529587,-1.101483439
0.253318514,-2.053247222,-1.236273119,-0.938538704,0.456236403,1.975419054,1.651915392,0.636124035,0.641830028,-0.075625081,-0.99050763,0.986058221
-0.028546755,1.131337213,-1.284715722,-1.052513279,-1.13558847,-0.281482115,-1.458970729,-0.492937424,-1.529310531,2.161415846,0.56204139,-1.098490007
-0.042870457,-1.460640071,-0.573973479,-0.437159533,-0.43564547,-1.322951113,-0.051297886,-0.834188232,0.001683688,0.276315532,-1.116416412,-0.799513954
1.368602284,0.739947511,0.617985817,0.331179173,0.34610362,-0.239351567,-0.526925176,0.271066757,0.250247821,-0.158294029,1.828530458,0.079873819
-0.225770986,1.909103569,1.109848139,-2.014210498,-0.647045631,-0.21404124,-0.197264869,0.157353347,0.56386739,-2.507917802,0.460591349,-0.322746362
1.516470604,-1.443893161,0.707588354,0.211980433,-2.157646335,0.151680505,-0.629578743,0.629711747,0.189426238,-1.565281765,-0.701003612,0.146417179
-1.548752804,0.701784335,-0.363657297,1.236675046,0.88425082,1.712304977,-0.833843581,-0.39579795,-0.732853806,-0.077673201,0.241045933,2.305061982
0.58461375,-0.262197489,0.059749937,2.037574018,-0.829477612,-0.326143893,0.578722375,0.899354053,0.98636586,0.206294045,-0.352453199,-1.124603671
0.123854244,-1.572144159,-0.704596464,1.301175992,-0.573560271,0.373004656,-1.087580714,-0.830811527,1.738633767,0.276872459,0.37114796,-0.30546964
0.215941569,-1.514667654,-0.717218162,0.756774764,1.503900609,-0.227684065,1.484030932,-0.3305447,0.881178809,0.82150678,0.243532719,-0.51675945
0.379639483,-1.601536174,0.884650499,-1.726730399,-0.77414493,0.020450709,-1.186206585,0.740814524,-1.943650901,-0.194152409,-1.014114173,1.512395427
-0.502323453,-0.530906522,-1.015592579,-0.601506708,0.84573154,0.314057664,0.101079151,0.989971609,1.399576185,1.214588794,-0.791313879,-0.769484923
-0.333207384,-1.461755585,1.955293965,-0.352046457,-1.260682879,1.328214696,0.532989287,-1.938504701,-0.056055946,-0.921516043,0.299593685,-0.082086904
-1.018575383,0.687916773,-0.090319594,0.703523903,-0.354542403,0.121318377,0.586735339,0.107190407,0.524914279,-1.20844272,1.639051909,0.787133614
-1.071791226,2.100108941,0.214538827,-0.105671334,-0.073556019,0.71284232,-0.301746664,0.608779012,0.622033236,-1.228986178,1.084617009,-1.058590536
0.303528641,-1.287030476,-0.738527705,-1.258648628,-1.168651424,0.77886003,0.079501995,-1.450824313,-0.096686073,0.742297024,-0.624567474,1.655175816
0.448209779,0.787738847,-0.57438869,1.684435708,-0.634748265,0.914773271,0.961264152,0.4806256,-0.075263198,-0.082919942,0.825922902,0.675762415
0.053004227,0.769042241,-1.317016132,0.911391292,-0.028841553,-0.574394552,-1.456465917,-0.82817427,1.019157069,0.789817922,-0.048568353,-1.07420661
0.922267468,0.332202579,-0.182925388,0.237430272,0.670695969,1.626881214,-0.781739712,1.020253012,0.711601922,-0.267706422,0.301313652,0.454577809
2.050084686,-1.008376608,0.418982405,1.21810861,-1.650546543,-0.380956739,0.320402314,0.538482032,0.990262246,-0.591892102,0.260361491,-0.213307143
-0.491031166,-0.119452607,0.324304344,-1.338774287,-0.349754239,-0.105784168,-0.444781978,0.769052295,2.382926695,-0.368352575,2.575449764,0.313228772
-2.309168876,-0.280395335,-0.781536487,0.660820298,0.756406439,1.404050268,1.370003994,0.120719329,0.664415864,-1.852616824,-1.185288811,-0.089975197
1.005738524,0.562989533,-0.788621971,-0.522912376,-0.53880916,1.294083906,0.673253863,0.863648434,0.207381157,-1.16961526,0.100919859,1.070516037
-0.709200763,-0.372438756,-0.502198718,0.683745522,0.227291922,-1.089991872,0.072166752,1.380514528,-2.210633111,-1.442034646,-1.779977288,-1.351100386
-0.688008616,0.976973387,1.49606067,-0.060821955,0.49222857,-0.873071,-1.507757318,1.966248015,2.691714003,1.054322272,0.589835923,-0.522616697
1.02557137,-0.374580858,-1.137303621,0.632960713,0.267835015,-1.358079059,0.026100225,-0.028395055,-0.482676822,-0.597330091,1.096608472,-0.249190678
-0.284773007,1.052711466,-0.179051594,1.335517615,0.653257679,0.181847193,-0.316415868,-2.24905109,2.374734715,0.789459853,1.445662241,-0.560475647
-1.220717712,-1.049177007,1.902361822,0.00729009,-0.122708661,0.164840868,-0.102346514,0.031526005,0.374643568,1.516490602,-1.925145252,-0.230177489
0.18130348,-1.260155245,-0.100974885,1.017558637,-0.413676514,0.364114687,-1.181559227,0.205561208,1.538430199,-0.191774809,0.412769497,1.558708314
-0.138891362,3.241039935,-1.359840704,-1.188434035,-2.643148952,0.552157714,0.498658044,-0.155345347,-0.109710321,0.283878906,1.593369951,0.070508391
0.005764186,-0.416857588,-0.664769435,-0.72160444,-0.092941018,-0.601892846,-1.03895644,0.568288621,0.511470755,-1.751067519,-0.414015863,0.129287735
0.385280401,0.298227592,0.485459979,1.519217711,0.430284696,-0.993698591,-0.226221981,1.010677965,0.21395798,-0.818669778,-0.212150532,1.715064987
-0.370660032,0.636569674,-0.375602872,0.377387973,0.535398841,1.026785056,0.381425829,-0.51798243,-0.186120699,0.056214849,-0.036537222,0.460916206
0.644376549,-0.483780626,-0.561876364,-2.05222282,-0.555278351,0.751061303,-0.783515789,-0.294095327,-0.120393825,0.299086903,0.365018751,-1.265061235
