Phen1,Phen2,Phen3,Phen4,Phen5,Phen6,Phen7,Phen8
1.823,3.006,3.213,2.165,1.825,1.146,1.455,1.318
2.277,4.713,5.259,2.344,3.593,3.158,4.494,3.243
3.238,6.465,7.053,5.892,6.999,6.418,3.483,3.542
3.853,14.164,15.543,11.112,12.498,9.223,4.029,3.423
1.87,7.872,9.768,5.648,5.107,4.601,4.835,1.651
2.558,4.834,4.558,3.098,3.112,2.739,3.222,1.686
2.776,12.074,13.312,10.441,8.828,10.791,6.415,4.364
0.65,1.041,1.671,1.579,0.872,1.593,0.622,0.297
2.462,5.091,6.917,4.439,4.755,3.38,2.035,1.493
5.865,13.691,10.717,8.548,7.721,8.405,7.897,7.879
2.396,7.027,9.032,6.69,7.946,6.152,3.938,2.429
5.968,13.592,12.433,9.563,7.583,10.855,7.768,5.252
1.084,9.001,7.487,5.582,6.934,5.364,4.385,1.57
1.245,4.102,3.477,3.8,3.102,3.621,2.449,2.394
2.931,10.434,9.283,6.967,6.289,7.73,5.886,4.095
0.834,3.354,3.337,2.441,2.664,2,1.806,0.459
2.22,8.967,10.133,7.085,6.2,8.784,5.684,2.991
1.313,2.997,2.526,3.002,1.898,1.747,2.691,2.032
5.341,14.402,12.347,10.907,9.926,12.97,8.964,6.501
6.491,22.598,20.261,20.044,16.688,13.087,11.584,10.497
2.661,7.245,8.328,6.806,7.046,5.163,3.38,2.615
1.056,5.011,4.977,3.249,3.672,2.961,2.647,1.701
6.37,17.757,14.935,10.28,9.173,11.082,7.678,4.166
2.554,8.532,7.008,6.788,5.867,5.726,3.469,1.769
1.353,4.663,5.089,2.973,3.859,3.195,2.029,1.12
2.051,6.428,8.189,4.989,5.603,5.233,5.734,2.999
2.63,5.936,7.902,3.765,3.613,3.814,5.665,3.209
2.997,9.692,12.02,8.479,8.161,8.311,8.525,5.659
1.569,4.403,2.837,3.725,1.075,1.395,2.835,1.999
2.415,13.335,12.591,13.173,8.024,10.703,5.431,1.638
3.416,13.244,20.085,15.615,11.267,15.579,7.003,4.105
1.315,3.997,5,4.241,3.245,1.919,1.961,2.289
4.851,17.339,19.319,13.687,12.599,15.658,8.325,7.21
6.238,32.208,27.478,29.683,18.334,21.217,10.58,7.954
2.672,7.032,9.001,3.93,3.786,4.42,2.216,1.493
5.937,20.047,16.792,12.564,11.763,12.045,13.176,6.832
3.198,8.856,9.632,5.918,5.249,6.51,5.153,3.313
2.402,4,2.765,1.827,2.037,1.049,1.198,2.116
3.763,13.379,14.211,10.265,9.015,11.098,6.058,4.72
4.58,13.365,11.475,9.18,9.024,7.852,5.565,5.662
6.057,16.611,12.384,12,11.211,14.297,8.379,7.502
3.149,7.974,6.86,6.081,4.92,8.069,4.011,2.557
5.643,10,14.567,9.806,11.118,10.725,5.744,2.176
3.694,14.215,17.733,13.818,11.267,9.464,6.644,4.263
2.141,2.218,1.857,1.46,1,1.153,1.331,1.881
0.994,9.475,9.528,7.374,6.784,5.614,2.718,1.404
3.715,6.304,12.441,8.838,6.407,8.263,6.483,5.412
3.724,14.68,15.304,11.334,10.337,12.37,5.416,3.891
1.791,5.023,7.256,4.269,4.164,4.329,1.65,1.251
4.063,5.368,5.889,6.906,3.43,2.99,4.654,3.144
4.06,9.252,7.441,5.66,6.517,6.073,12.009,9.263
2.832,4.193,5.637,3.851,2.342,2.393,4.473,2.593
4.868,17.417,19.965,14.645,15.696,11.485,6.537,3.52
2.12,4.397,4.851,3.545,3.529,2.737,3.964,2.022
4.351,18.991,19.87,14.299,12.215,13.996,8.779,2.717
4.969,21.005,19.472,15.021,9.606,14.781,5.958,3.036
1.559,4.73,4.277,2.946,1.54,2.521,3.916,2.054
2.92,32.394,32.926,25.632,21.253,21.58,8.637,4.212
2.595,8.259,8.785,6.842,4.981,7.632,6.081,4.397
3.952,10.024,9.542,6.078,6.27,6.818,5.402,3.076
5.602,10.083,10.978,11.896,8.695,9.592,8.003,7.918
5.377,7.198,9.494,5.428,6.788,5.062,5.689,3.325
2.444,14.555,16.637,14.577,10.078,13.701,7.001,3.974
3.485,20.919,22.316,12.221,16.605,12.387,8.72,6.578
1.25,4.674,4.575,4.791,2.611,3.098,2.739,2.813
3.763,11.793,9.833,7.043,7.513,5.254,5.025,2.039
2.589,4.969,4.047,3.451,2.216,2.155,2.988,3.533
1.509,13.958,9.816,8.976,9.574,9.926,2.66,1.178
4.778,16.628,12.715,13.209,10.821,10.812,4.002,2.026
4.415,12.892,11.733,8.528,7.121,4.755,5.889,4.545
2.614,9.89,8.388,6.581,6.738,6.435,2.938,2.992
3.347,5.209,4.04,3.866,4.265,2.483,3.105,4.96
4.606,22.498,17.975,15.908,17.111,18.782,12.967,6.564
1.907,10.98,7.663,6.951,5.672,6.614,4.657,1.801
1.552,5.726,6.543,4.838,3.787,4.587,3.55,1.26
7.225,32.836,34.118,25.962,26.094,26.095,21.199,10.213
0.947,7.566,6.754,4.589,5.929,3.708,1.316,0.772
2.439,15.053,14.28,8.538,10.124,10.216,6.297,4.066
2.377,2.679,2.119,1.611,1.375,1.532,3.661,2.796
4.008,9.919,11.036,7.215,8.866,8.56,3.207,1.958
1.814,4.024,3.066,1.891,1.781,1.412,1.921,1.323
5.68,13.141,15.591,11.208,8.546,10.392,6.336,3.594
1.921,10.466,8.449,10.338,5.607,8.214,3.759,3.058
1.431,7.05,8.616,7.166,5.018,6.196,2.496,1.996
0.92,4.486,3.608,2.776,3.017,2.011,1.96,2.22
3.845,7.422,7.275,5.025,5.109,4.45,4.86,4.722
1.715,1.224,0.983,1.478,0.783,1.335,1.183,1.853
1.279,2.527,4.801,2.457,1.638,1.754,1.682,2.156
4.144,13.432,13.018,11.608,8.445,8.486,8.249,6.485
2.638,3.647,3.391,2.887,2.234,1.966,0.861,1.034
3.32,12.689,13.267,8.055,8.284,7.431,9.992,5.187
2.203,3.799,3.661,3.808,2.273,2.471,1.806,0.914
2.719,14.179,17.74,13.773,14.715,14.412,7.046,4.095
5.251,17.295,15.466,14.985,14.932,11.189,14.938,10.788
2.714,6.449,6.294,6.588,4.637,4.99,4.433,7.356
4.329,13.361,16.28,9.256,9.15,7.393,7.04,5.082
1.825,8.261,8.236,6.852,7.399,7.052,3.388,1.14
4.796,19.132,17.715,11.532,12.104,11.897,7.744,5.998
0.856,3.868,3.232,3.459,3.149,2.631,0.907,0.991
1.601,3.923,2.769,3.298,2.124,2.234,1.112,0.882
2.983,20.902,18.572,15.365,15.538,14.628,4.259,1.271
2.892,10.247,11.986,10.757,10.637,11.176,8.668,5.567
0.992,8.722,7.41,4.947,4.538,4.306,2.959,1.216
1.221,4.119,2.995,1.851,1.582,1.553,1.943,1.394
0.994,3.316,1.628,1.019,0.979,1.678,0.465,0.142
1.877,3.628,2.545,2.848,2.351,1.748,0.682,1.952
2.201,10.486,7.317,7.587,9.997,5.294,3.691,2.935
2.948,7.494,8.907,6.347,4.621,4.854,2.307,1.534
3.008,6.506,4.721,3.317,4.878,5.265,4.632,3.476
4.77,11.262,13.416,5.878,8.781,7.629,8.788,6.762
3.562,8.44,9.136,4.52,4.981,4.719,3.579,4.666
1.188,6.409,4.146,4.046,2.838,4.179,2.051,1.24
2.999,7.825,6.21,7.543,6.276,5.909,4.172,1.71
0.242,1.709,1.947,1.637,1.49,0.676,0.954,0.621
3.494,13.13,12.39,10.263,9.547,9.493,4.028,3.784
2.93,9.544,14.646,7.499,8.894,8.234,6.555,4.675
4.57,17.767,13.568,12.474,9.493,12.212,9.536,4.612
3.52,12.104,10.562,6.205,6.442,6.516,5.668,3.098
1.211,4.287,2.554,2.739,2.466,2.636,1.892,1.211
1.627,6.681,8.193,6.198,5.752,6.186,4.032,3.167
1.617,3.32,2.435,2.271,2.083,1.942,3.505,1.27
1.687,2.867,2.046,1.432,0.768,1.158,1.866,1.916
0.787,6.321,6.98,4.974,4.245,5.495,3.358,2.093
8.502,20.464,18.869,18.423,14.761,18.015,12.917,5.709
6.757,19.346,16.286,17.933,15.554,16.631,9.967,5.671
3.393,10.681,8.744,11.536,7.545,5.918,5.264,3.293
2.58,10.297,13.378,6.681,5.998,6.425,6.427,2.986
2.801,4.496,7.625,6.388,3.428,3.687,2.623,1.854
2.624,10.706,11.476,8.862,7.866,8.996,3.868,1.449
5.667,20.014,19.838,15.744,16.206,15.881,11.435,6.925
1.697,10.02,8.619,6.243,5.76,6.11,2.442,0.941
7.137,8.218,7.66,4.708,5.458,6.213,4.523,4.9
3.038,10.188,8.138,7.222,6.255,8.602,3.619,1.452
5.563,7.003,7.343,7.062,6.529,5.91,5.236,5.956
3.943,8.579,6.897,5.864,7.629,5.759,7.376,3.986
2.503,5.615,8.841,5.096,4.545,5.13,2.736,2.697
7.323,16.904,23.266,13.571,12.963,16.645,17.205,10.774
1.512,3.952,5.89,4.706,3.091,2.076,0.727,0.801
2.634,15.477,12.392,9.335,6.254,9.616,3.189,0.708
6.367,16.015,13.583,10.687,8.675,10.542,7.396,3.87
1.748,4.483,7.478,6.112,6.158,4.914,2.575,1.8
3.689,11.969,13.065,8.793,8.933,10.805,4.014,1.721
3.36,19.062,19.599,14.513,12.244,13.057,4.78,3.07
5.268,11.976,12.826,10.185,10.52,10.467,4.762,5.51
3.316,6.495,6.195,3.275,3.355,3.148,5.374,5.292
2.581,12.738,10.044,11.518,9.076,7.021,7.69,3.758
2.707,25.359,26.15,21.773,19.754,20.031,8.101,3.444
2.041,10.634,8.16,4.552,5.178,4.481,2.207,1.587
1.469,11.398,11.341,13.14,8.419,8.09,2.375,1.818
6.095,13.476,13.414,10.964,10.635,9.581,10.056,7.96
4.861,17.911,18.447,14.469,13.797,14.315,8.311,5.802
1.877,3.528,7.265,4.885,2.488,4.282,2.259,0.863
3.826,22.881,18.738,15.699,13.675,16.53,10.369,5.244
6.344,19.755,23.705,16.147,13.962,16.938,9.334,3.984
4.511,11.965,12.647,11.828,9.063,8.345,6.839,2.481
2.839,13.564,15.33,11.821,9.147,9.062,5.996,4.139
3.244,16.907,22.842,17.183,14.491,16.373,6.355,3.165
1.504,8.129,5.579,3.715,4.166,4.093,2.584,0.886
2.551,16.259,17.889,12.937,13.962,13.573,9.384,4.331
1.949,6.702,3.749,5.521,4.808,4.312,3.522,3.254
2.013,3.588,3.398,2.742,2.276,1.761,1.172,0.975
2.452,9.88,10.838,6.727,6.711,10.017,3.124,1.897
3.153,10.809,11.044,8.005,6.326,5.684,4.06,3.029
0.712,3.167,4.943,2.568,2.079,2.885,1.166,0.773
6.071,29.697,22.854,18.882,18.045,16.427,12.326,7.845
2.352,8.6,9.615,6.532,7.206,6.526,3.914,4.141
2.977,10.25,12.519,12.054,8.254,7.68,2.409,1.577
4.344,9.205,10.608,6.383,8.39,8.078,10.209,6.995
0.999,5.449,4.001,2.222,2.202,2.114,0.491,0.483
4.054,21.701,19.057,19.909,14.118,12.421,7.203,4.214
2.59,7.724,7.676,5.917,4.664,6.085,4.615,3.623
2.284,13.895,10.157,12.106,8.545,8.908,3.376,3.158
2.208,10.174,10.773,6.008,7.701,7.063,2.766,2.18
4.231,16.39,20.803,14.505,14.82,11.683,10.674,7.347
2.414,7.664,8.495,5.907,6.514,6.252,5.462,2.758
2.818,4.292,3.701,2.516,2.753,3.806,4.466,4.178
4.324,13.547,13.119,9.277,9.564,11.394,9.6,5.855
0.958,5.412,7.715,5.551,3.849,5.463,3.626,2.968
6.456,18.11,22.989,12.785,14.287,14.721,12.558,6.119
5.683,26.202,26.63,23.402,23.213,18.37,18.344,11.557
1.424,4.479,3.552,2.455,1.607,2.221,1.013,0.567
0.428,4.928,5.251,3.362,1.987,2.513,0.904,0.059
2.329,10.397,11.264,8.916,8.223,8.112,7.488,4.774
2.107,4.455,4.332,3.406,2.467,1.714,1.516,1.904
1.39,6.018,4.835,4.374,3.745,2.568,2.042,1.949
5.295,17.847,14.652,10.904,10.714,13.386,7.323,5.701
6.547,20.924,17.052,14.323,15.033,16.86,11.653,6.429
6.578,18.81,15.381,10.87,12.403,11.484,3.384,3.384
2.558,14.955,16.377,12.009,11.442,8.589,4.335,2.239
1.943,16.665,11.588,11.875,12.075,8.379,4.297,1.963
1.63,7.27,5.284,5.742,4.01,4.325,2.714,2.249
1.73,10.436,10.105,7.01,6.168,6.921,2.646,2.993
2.918,14.774,15.489,10.481,12.02,12.101,5.708,5.253
1.7,8.939,9.956,6.347,8.822,5.771,2.13,2.036
1.204,2.096,1.465,1.248,0.83,1.343,1.024,1.21
2.302,5.221,7.184,4.476,6.207,4.183,3.536,3.037
2.975,22.808,22.745,20.323,14.248,17.116,8.74,4.199
2.267,8.994,8.863,7.931,6.712,7.278,2.43,1.591
3.433,14.706,16.062,14.374,9.091,12.451,5.735,2.262
1.551,8.293,6.092,5.668,6.027,4.78,2.689,1.686
3.338,7.688,9.521,6.035,5.152,6.218,4.576,3.455
2.619,8.287,9.936,6.854,6.219,5.663,3.709,3.722
2.43,3.459,3.116,1.858,1.277,1.588,2.629,2.03
5.928,14.047,19.297,15.397,14.086,11.694,13.265,10.751
6.355,22.447,21.893,19.356,16.551,19.446,18.942,12.954
2.952,11.466,11.844,8.578,7.523,7.271,8.344,5.613
4.761,13.862,13.169,7.727,8.229,8.169,10.843,9.2
5.262,8.927,8.139,10.557,8.278,7.084,8.831,6.887
1.872,3.911,4.095,3.537,2.274,1.345,1.638,2.291
1.906,3.691,2.289,2.411,1.888,2.44,2.837,2.511
1.159,13.091,13.566,11.333,8.115,11.853,5.479,1.76
2.502,10.387,11.529,11.198,6.784,6.921,5.047,4.24
3.198,8.184,9.44,8.245,7.201,6.335,5.456,3.29
1.41,5.839,7.481,5.28,5.033,4.174,2.963,2.039
7.59,19.526,18.185,15.366,15.332,14.017,12.062,10.969
1.814,10.334,7.914,8.813,6.835,6.386,4.403,2.188
4.146,7.269,10.095,7.094,7.337,5.53,6.275,6.666
2.09,9.31,11.489,9.517,8.735,10.035,9.431,6.85
3.001,11.193,14.053,12.458,9.91,8.161,7.389,3.007
3.33,11.804,14.386,8.898,7.45,7.394,7.429,6.409
2.152,10.549,10.489,9.563,6.065,7.117,2.948,1.89
2.031,6.586,3.416,3.284,2.373,1.602,1.133,1.504
5.821,20.668,18.697,13.958,12.65,12.33,7.483,4.866
7.298,12.457,12.661,9.011,6.137,8.663,10.097,8.966
6.424,8.52,10.494,9.358,6.292,7.255,9.011,5.491
1.802,13.413,10.004,9.337,7.105,8.031,3.763,2.204
4.979,19.102,21.096,13.39,13.42,12.516,4.226,2.726
3.87,12.156,13.893,13.744,8.399,8.043,6.35,4.268
2.215,8.819,4.399,4.498,2.957,3.121,1.635,0.936
5.195,12.288,14.12,9.039,9.812,10.432,12.753,11.743
3.155,13.813,14.495,8.18,8.296,9.779,7.123,3.21
2.652,6.691,6.69,3.822,3.23,4.399,3.7,2.736
2.18,6.49,8.138,5.333,3.642,4.917,3.254,2.056
1.747,4.758,6.171,5.076,3.918,4.477,2.33,1.675
2.12,4.02,4.581,2.865,3.04,2.771,1.864,1.855
1.292,6.131,5.265,3.073,4.991,4.214,4.63,2.866
3.689,12.897,11.772,9.199,5.28,7.06,7.533,3.828
2.609,12.04,10.473,10.059,8.462,7.804,5.688,4.335
1.789,5.985,9.319,5.211,3.958,4.137,3.508,3.103
2.75,11.498,12.581,7.572,8.288,8.897,5.337,3.141
8.4,11.358,10.655,7.271,6.335,7.823,8.783,7.682
2.115,3.514,3.592,1.984,2.31,2.455,2.32,1.835
1,2.72,2.948,1.597,2.641,1.177,1.604,1.511
3.293,11.923,10.173,7.067,7.558,5.971,5.015,3.082
4.919,11.287,9.167,10.081,8.516,6.458,5.058,6.132
2.417,13.421,9.776,11.866,8.888,6.534,4.243,1.34
5.141,4.181,5.976,4.214,4.34,4.683,4.994,6.194
2.212,5.417,5.077,4.45,3.656,3.315,2.309,2.634
0.672,2.537,2.659,1.109,1.135,1.863,2.093,1.209
4.419,13.38,17.686,12.076,11.396,10.193,9.833,6.959
3.728,10.132,7.873,4.334,5.461,4.369,3.67,1.367
3.223,14.657,11.93,10.274,7.933,7.733,7.474,3.289
6.289,12.546,12.247,8.306,8.347,7.887,7.325,5.59
6.113,11.633,14.815,12.513,9.783,8.563,12.447,7.038
1.88,2.468,2.408,1.933,1.667,0.983,1.055,2.324
3.308,5.825,7.838,5.764,5.151,5.261,5.07,2.956
4.761,18.632,19.545,14.196,12.681,11.739,8.177,5.2
3.132,5.442,6.075,3.287,3.377,5.974,4.288,3.16
3.776,22.963,28.429,18.623,15.472,18.134,4.556,2.183
3.412,14.232,13.612,10.008,8.578,7.303,6.046,3.752
3.817,6.081,7.156,4.833,7.435,3.627,5.577,7.462
4.916,20.82,22.551,15.967,13.734,12.994,7.492,3.874
3.323,6.819,6.484,6.526,6.86,4.122,2.973,3.642
5.177,8.372,6.748,7.289,3.978,5.256,7.248,5.076
3.885,9.106,12.587,7.353,8.148,8.518,4.04,3.363
3.584,9.74,11.666,7.227,5.263,8.036,6.61,4.166
1.755,3.975,4.004,2.747,3.45,2.423,2.141,2.306
2.351,6.791,7.978,7.49,5.321,5.386,2.135,1.462
2.287,15.318,19.555,14.628,12.68,12.795,8.048,2.204
6.031,8.478,7.749,8.009,8.974,7.166,7.818,8.883
4.274,9.083,9.361,5.732,5.97,7.144,4.85,2.833
7.112,17.383,17.443,17.688,17.337,15.992,14.864,9.9
2.003,1.592,1.517,0.988,0.825,0.947,1.73,0.973
4.62,12.183,11.748,8.312,9.206,8.086,6.874,3.681
1.515,5.435,6.176,5.303,2.757,4.008,2.328,0.849
3.89,11.856,13.796,9.786,8.403,8.854,5.873,2.536
3.049,8.091,9.77,6.734,6.074,6.203,3.464,1.737
9.416,22.119,27.543,21.49,19.364,19.916,8.822,4.792
1.698,5.872,4.77,4.043,3.501,2.349,3.03,1.732
2.593,5.805,5.141,3.651,4.439,4.954,4.783,4.868
1.478,7.852,7.129,4.71,4.131,3.994,1.673,1.092
0.423,3.595,2.972,2.529,2.7,1.333,0.722,0.596
3.033,16.463,17.127,12.136,12.096,10.658,7.016,2.855
4.013,11.231,10.954,8.695,7.897,7.827,8.184,5.779
3.202,7.812,5.827,4.687,3.838,5.378,1.47,1.041
0.974,8.059,7.686,4.197,5.224,3.391,1.191,0.773
2.712,6.604,7.254,8.37,7.005,7.378,3.522,4.041
4.573,20.258,19.841,14.717,14.135,15.166,5.884,3.681
3.365,7.704,10.818,10.736,9.456,7.884,7.605,5.106
1.325,1.128,1.138,1.069,0.557,0.699,0.577,1.456
1.379,4.933,4.325,4.811,3.278,3.057,1.973,1.827
6.024,28.178,21.137,15.699,18.268,17.448,10.319,7.306
4.24,17.03,17.258,17.088,12.191,11.484,9.229,4.032
3.307,14.067,13.509,12.336,10.492,9.245,6.782,6.907
3.792,9.695,11.387,8.392,7.994,9.374,9.153,4.353
2.497,5.932,6.428,5.262,5.493,4.374,4.248,1.75
1.725,2.351,1.544,1.766,1.18,0.911,1.369,1.41
2.915,10.268,13.354,11.492,9.374,9.716,5.142,4.04
3.881,17.93,16.228,9.678,12.09,12.265,7.782,5.954
3.135,15.242,17.168,13.129,10.343,9.661,5.34,1.498
2.506,9.285,7.828,9.558,7.368,7.954,6.56,3.652
1.818,10.397,7.459,5.59,4.834,5.804,3.262,1.207
4.893,14.221,17.357,10.329,11.904,14.971,8.871,3.382
1.485,15.237,17.027,9.853,9.976,11.145,6.11,1.983
0.899,3.095,2.052,2.283,2.663,1.694,2.055,0.826
2.937,13.049,11.13,7.365,5.924,8.763,4.211,1.085
2.005,14.562,12,4.853,6.194,7.005,5.942,2.895
2.205,4.738,5.997,5.177,3.525,4.442,2.797,1.879
0.78,0.258,0.308,0.22,0.177,0.279,0.246,0.632
1.524,4.824,5.076,4.128,4.314,3.883,2.835,2.028
1.53,9.678,7.078,6.546,7.217,5.877,3.356,2.548
2.452,10.079,15.278,11.3,9.543,9.402,8.296,4.307
1.516,6.189,4.031,3.955,3.904,3.511,2.012,1.322
1.134,4.104,2.685,1.696,2.006,2.955,0.669,0.696
1.758,13.123,13.405,12.163,7.488,7.536,4.431,1.536
5.248,12.724,9.998,12.567,8.737,8.669,9.577,6.571
0.969,2.876,2.058,1.658,1.145,1.991,0.681,1.641
1.574,10.821,6.297,8.364,8.206,5.527,2.381,1.971
3.941,15.02,16.169,10.986,11.325,12.06,7.019,5.221
2.288,9.056,4.818,4.949,4.809,4.696,4.248,4.044
2.734,5.278,4.424,3.793,4.164,5.04,5.96,4.62
4.71,22.215,21.421,14.306,16.16,16.652,6.562,5.086
0.81,5.185,6.51,4.516,3.437,4.658,1.791,1.025
4.457,9.15,12.174,7.632,7.817,9.487,9.25,9.553
7.051,25.687,24.854,24.921,19.344,21.16,14.808,12.049
2.155,2.32,2.418,1.751,1.219,1.615,1.316,0.812
1.013,11.324,13.16,12.783,8.641,10.394,4.549,2
2.346,13.895,8.959,9.962,9.322,9.193,3.066,1.047
2.761,9.627,9.311,7.244,5.686,6.594,5.748,3.187
1.501,3.494,5.07,4.418,4.087,2.843,2.194,1.489
5.679,16.959,15.269,14.775,13.883,12.21,8.087,6.788
2.355,10.509,11.512,9.888,8.318,8.533,5.347,3.905
3.856,7.635,8.731,12.078,8.269,8.62,5.46,5.335
5.661,12.989,14.53,12.1,12.61,10.598,7.548,5.098
2.921,6.752,4.142,5.146,4.242,4.181,3.945,2.656
2.585,3.748,5.478,4.112,2.951,3.373,2.845,2.085
2.557,10.606,8.081,7.511,7.574,7.212,8.602,5.399
1.721,13.161,15.324,11.48,12.457,8.946,6.662,3.613
1.764,9.757,11.012,5.893,4.772,5.837,2.564,0.699
4.72,12.84,10.891,7.593,7.262,8.629,7.097,2.976
0.944,4.846,4.407,4.662,3.557,2.754,2.356,1.067
4.59,17.174,27.87,16.718,15.908,18.073,7.212,6.157
3.113,11.45,8.558,8.2,7.533,8.005,5.138,4.709
3.128,6.314,7.762,5.293,5.421,4.433,2.67,2.209
1.671,2.308,3.111,2.05,1.029,1.71,0.808,1.031
0.652,3.96,4.03,2.079,4.285,2.086,1.54,1.371
2.157,2.922,4.059,3.291,3.067,2.609,3.034,2.624
5.006,17.313,10.198,12.069,10.886,10.574,7.766,3.752
3.326,7.387,7.047,7.957,7.24,7.273,10.847,8.454
2.06,7.093,5.631,4.869,3.781,3.075,4.459,4.431
4.327,17.255,22.084,16.601,14.5,13.628,13.334,6.805
2.449,5.32,4.213,4.583,3.122,2.711,2.502,0.88
4.199,9.589,9.895,8.826,6.685,7.79,5.702,4.548
2.882,7.303,7.166,5.886,6.748,4.782,3.063,2.863
3.353,7.974,8.306,3.902,6.156,4.448,4.31,4.224
2.444,16.427,12.412,11.177,11.927,8.667,4.024,1.999
2.182,9.559,5.581,6.444,5.712,5.1,3.957,2.755
1.554,5.387,8.498,7.886,5.155,5.826,2.004,0.982
1.343,3.838,4.854,2.711,1.276,2.557,0.213,0.284
4.255,9.609,9.747,7.167,8.183,8.151,5.059,3.386
1.939,12.019,12.319,8.899,7.05,9.122,3.57,2.728
2.224,7.645,3.715,2.489,1.753,2.87,2.094,1.324
1.135,1.989,2.351,1.549,1.179,0.895,1.639,0.975
4.344,5.784,6.903,7.503,4.556,4.633,4.002,2.19
1.873,8.79,6.873,8.402,4.85,5.936,1.831,1.026
2.219,7.887,6.28,6.512,4.123,3.666,3.46,4.026
3.183,14.687,17.372,9.862,11.338,8.991,5.194,3.284
2.419,12.602,15.874,15.263,9.989,12.268,3.313,3.087
3.714,21.566,18.983,13.248,10.662,16.938,8.986,7.469
3.102,7.919,6.909,6.988,5.453,6.126,9.3,3.753
2.602,7.075,7.51,3.474,4.486,3.19,1.287,1.066
3.572,4.799,4.446,3.051,3.728,2.903,4.948,3.953
