Feature,value
Feature A,31.8628845
Feature A,32.61914087
Feature A,27.249808
Feature A,23.6200432
Feature A,37.57911106
Feature A,27.90209767
Feature A,24.80692282
Feature A,28.58232259
Feature A,28.81694463
Feature A,36.65952174
Feature A,30.50842375
Feature A,34.52432271
Feature A,27.0042479
Feature A,31.28667186
Feature A,28.05188453
Feature A,30.56750117
Feature A,24.62781985
Feature A,22.1351908
Feature A,41.98328031
Feature A,33.60425294
Feature A,22.49237183
Feature A,26.3330045
Feature A,22.88711949
Feature A,43.19286209
Feature A,37.87447786
Feature A,28.40912966
Feature A,33.25916436
Feature A,27.51396031
Feature A,27.14251863
Feature A,25.26838297
Feature A,26.4322964
Feature A,39.9054448
Feature A,29.67583125
Feature A,30.71547142
Feature A,31.46212458
Feature A,37.39485527
Feature A,26.90361701
Feature A,24.0449571
Feature A,40.05418159
Feature A,27.3530207
Feature A,25.66160418
Feature A,22.58236129
Feature A,22.29170567
Feature A,26.55615912
Feature A,33.7079149
Feature A,36.65908883
Feature A,34.24553012
Feature A,27.81805622
Feature A,30.35849962
Feature A,25.77242122
Feature A,25.69669103
Feature A,35.30790299
Feature A,23.90644453
Feature A,41.73176379
Feature A,29.45808244
Feature A,31.28723296
Feature A,25.56883377
Feature A,26.55366786
Feature A,22.09790321
Feature A,28.90244767
Feature A,32.51389443
Feature A,31.94582606
Feature A,25.31078108
Feature A,25.26826817
Feature A,26.98680769
Feature A,38.97636402
Feature A,23.17617828
Feature A,28.92569043
Feature A,41.41417093
Feature A,29.39415069
Feature A,21.84095578
Feature A,26.01138339
Feature A,32.91275987
Feature A,27.74638277
Feature A,26.62874182
Feature A,27.9364966
Feature A,30.54297988
Feature A,39.59105263
Feature A,29.46860933
Feature A,36.48479698
Feature A,33.78452469
Feature A,29.31816063
Feature A,20.80258798
Feature A,26.87329609
Feature A,27.06077728
Feature A,30.2829266
Feature A,37.80119207
Feature A,43.75847384
Feature A,39.28548635
Feature A,29.20109421
Feature A,19.46083563
Feature A,27.66732082
Feature A,30.53524334
Feature A,35.07007802
Feature A,35.77516781
Feature A,34.10585658
Feature A,21.6283539
Feature A,35.09785827
Feature A,27.3206567
Feature A,31.0488162
Feature A,30.44730706
Feature A,32.56900059
Feature A,30.1480499
Feature A,19.99514941
Feature A,34.41897579
Feature A,32.31615941
Feature A,28.40609025
Feature A,30.70886707
Feature A,30.80423187
Feature A,31.32611681
Feature A,39.845077
Feature A,28.68569773
Feature A,31.0083923
Feature A,37.01030324
Feature A,36.32508614
Feature A,36.87157866
Feature A,26.53519199
Feature A,42.01489638
Feature A,30.40020523
Feature A,41.20111107
Feature A,21.89458388
Feature A,30.12590152
Feature A,37.49948743
Feature A,25.70854688
Feature A,25.48386619
Feature A,24.36876778
Feature A,23.68492032
Feature A,27.3770428
Feature A,31.98707504
Feature A,17.91473701
Feature A,31.2718826
Feature A,37.42005028
Feature A,42.22544411
Feature A,37.80705595
Feature A,34.54064858
Feature A,19.63961761
Feature A,26.39095975
Feature A,27.88772126
Feature A,34.22114342
Feature A,29.365972
Feature A,22.44810823
Feature A,40.10661425
Feature A,35.46834775
Feature A,31.42458163
Feature A,37.30865166
Feature A,21.96735428
Feature A,33.96492179
Feature A,26.86252574
Feature A,34.10247313
Feature A,29.63506827
Feature A,33.79776428
Feature A,38.01310569
Feature A,30.04374054
Feature A,36.10535182
Feature A,22.86939579
Feature A,25.67037336
Feature A,39.11530627
Feature A,32.26432784
Feature A,17.68666308
Feature A,21.81577529
Feature A,28.79531391
Feature A,35.19467643
Feature A,29.38870047
Feature A,33.74512483
Feature A,35.75403227
Feature A,40.02632897
Feature A,30.3361004
Feature A,29.68810856
Feature A,19.48057585
Feature A,30.59596556
Feature A,26.56889965
Feature A,24.1559425
Feature A,28.92056261
Feature A,36.08965904
Feature A,18.04350907
Feature A,27.43632428
Feature A,30.6998237
Feature A,24.64075458
Feature A,32.00341765
Feature A,32.46857952
Feature A,29.80178304
Feature A,15.20461084
Feature A,45.42874888
Feature A,28.76820446
Feature A,33.90715969
Feature A,31.64259895
Feature A,36.14803941
Feature A,34.90595668
Feature A,28.74124097
Feature A,32.26900663
Feature A,24.32754701
Feature A,35.14153807
Feature A,27.23376997
Feature A,44.50064012
Feature A,20.09370663
Feature A,27.21607654
Feature A,34.95227918
Feature A,33.06079528
Feature A,26.46311377
Feature A,24.01931555
Feature A,30.86685423
Feature A,29.91415552
Feature A,19.25831258
Feature A,30.2073064
Feature A,31.14138189
Feature A,31.04835838
Feature A,23.66989774
Feature A,32.85679967
Feature A,38.27142082
Feature A,32.73741842
Feature A,23.18646918
Feature A,27.38612718
Feature A,32.07662172
Feature A,26.11772621
Feature A,17.05412199
Feature A,35.30550492
Feature A,25.02313433
Feature A,26.55863838
Feature A,39.02340365
Feature A,25.35513042
Feature A,35.07438924
Feature A,22.43590273
Feature A,27.87274558
Feature A,29.55866389
Feature A,22.98809145
Feature A,26.19151041
Feature A,29.82695068
Feature A,34.02417581
Feature A,20.09672074
Feature A,27.90147456
Feature A,34.53843863
Feature A,26.76714504
Feature A,31.36375153
Feature A,32.95337142
Feature A,31.60701009
Feature A,33.91954608
Feature A,29.26374803
Feature A,27.51794092
Feature A,14.14110629
Feature A,29.44235389
Feature A,32.58170818
Feature A,33.21239305
Feature A,26.66832989
Feature A,40.67701746
Feature A,31.71854652
Feature A,30.75789515
Feature A,37.63360068
Feature A,25.68920267
Feature A,27.29796826
Feature A,44.38471488
Feature A,30.06677512
Feature A,39.80141053
Feature A,21.36896013
Feature A,28.85689919
Feature A,32.27054342
Feature A,31.80023127
Feature A,23.96618244
Feature A,30.11555565
Feature A,23.53547608
Feature A,34.27621995
Feature A,36.50865054
Feature A,16.65007382
Feature A,37.41416077
Feature A,22.55373302
Feature A,32.72861561
Feature A,33.95941583
Feature A,28.80066103
Feature A,26.12931626
Feature A,30.99192613
Feature A,32.6329122
Feature A,35.29981692
Feature A,17.6859781
Feature A,20.18172439
Feature A,38.58241405
Feature A,36.27977308
Feature A,32.61173369
Feature A,34.29107044
Feature A,35.50304951
Feature A,14.03446321
Feature A,36.66166258
Feature A,27.09007442
Feature A,31.38370098
Feature A,28.22905319
Feature A,35.23178972
Feature A,27.90916531
Feature A,33.1110226
Feature A,27.65589013
Feature A,23.44327675
Feature A,37.26006306
Feature A,34.44540007
Feature A,40.34557343
Feature A,30.3909236
Feature A,36.75001647
Feature A,41.85251432
Feature A,28.31110731
Feature A,22.06229332
Feature A,28.5638906
Feature A,28.71575256
Feature A,30.91008303
Feature A,40.27382986
Feature A,28.04313664
Feature A,32.23802793
Feature A,28.63389561
Feature A,30.12270425
Feature A,31.88434598
Feature A,37.96928818
Feature A,30.72791026
Feature A,34.27705392
Feature A,34.67316018
Feature A,35.48863963
Feature A,26.55363269
Feature A,39.76128729
Feature A,27.71425956
Feature A,29.36529499
Feature A,38.42430161
Feature A,37.76450344
Feature A,23.46004877
Feature A,24.761574
Feature A,21.85152564
Feature A,31.09108316
Feature A,30.98904521
Feature A,32.18468812
Feature A,33.31294629
Feature A,26.38864292
Feature A,24.03780845
Feature A,36.16071034
Feature A,34.50636782
Feature A,20.94500078
Feature A,29.42911529
Feature A,24.62431306
Feature A,17.57549358
Feature A,30.90072079
Feature A,29.52472974
Feature A,29.41578439
Feature A,31.29691525
Feature A,35.29479099
Feature A,31.23358503
Feature A,26.30138494
Feature A,25.59120449
Feature A,29.20918324
Feature A,31.86010192
Feature A,23.76191788
Feature A,28.89414679
Feature A,35.80360356
Feature A,29.35031945
Feature A,25.80947599
Feature A,28.34432899
Feature A,36.68789127
Feature A,33.30026377
Feature A,37.4200548
Feature A,30.83458714
Feature A,32.46165058
Feature A,26.64925853
Feature A,33.63222401
Feature A,26.96199875
Feature A,21.47660697
Feature A,30.76795779
Feature A,41.67510731
Feature A,34.80548604
Feature A,36.99152034
Feature A,32.15313434
Feature A,26.34865693
Feature A,28.78655487
Feature A,28.36051136
Feature A,27.18780132
Feature A,34.2250037
Feature A,22.81581899
Feature A,35.19819679
Feature A,35.18491492
Feature A,22.80826585
Feature A,33.83695199
Feature A,44.58135991
Feature A,26.65670711
Feature A,35.06942545
Feature A,25.30678893
Feature A,36.66426851
Feature A,31.49894832
Feature A,39.91149235
Feature A,21.24617563
Feature A,29.69221268
Feature A,26.83844894
Feature A,28.81641079
Feature A,26.22252754
Feature A,24.99693852
Feature A,33.47233425
Feature A,23.47451572
Feature A,38.90418559
Feature A,22.88276049
Feature A,30.60647491
Feature A,33.19793572
Feature A,33.52041203
Feature A,28.18952002
Feature A,30.47701197
Feature A,35.76758491
Feature A,21.2612045
Feature A,25.30956173
Feature A,31.92241389
Feature A,27.33130813
Feature A,38.22002396
Feature A,34.03952318
Feature A,30.43300051
Feature A,20.95345609
Feature A,30.15660135
Feature A,28.10150479
Feature A,29.38592092
Feature A,22.91064464
Feature A,32.99194826
Feature A,23.76626136
Feature A,28.64266811
Feature A,32.28855498
Feature A,25.29890527
Feature A,33.49794843
Feature A,22.10093759
Feature A,13.14135193
Feature A,32.78980794
Feature A,35.04323896
Feature A,28.28492746
Feature A,33.02475753
Feature A,23.06450085
Feature A,29.23710836
Feature A,18.35088974
Feature A,37.08708535
Feature A,41.15946517
Feature A,36.44407356
Feature A,29.8359182
Feature A,29.80001795
Feature A,20.90359426
Feature A,34.74231206
Feature A,28.73559492
Feature A,26.05954245
Feature A,21.52784524
Feature A,28.20142502
Feature A,24.90563319
Feature A,27.61781688
Feature A,22.69440007
Feature A,40.1255369
Feature A,29.90398484
Feature A,36.44967046
Feature A,14.38980198
Feature A,27.28081302
Feature A,25.94710625
Feature A,22.66244292
Feature A,39.27965493
Feature A,21.50830848
Feature A,31.91034156
Feature A,35.07861771
Feature A,31.06914113
Feature A,24.74846714
Feature A,35.64699484
Feature A,31.02352849
Feature A,23.61901256
Feature A,21.67170571
Feature A,42.52030461
Feature A,25.92898113
Feature A,18.86657008
Feature A,33.19955618
Feature A,31.86138154
Feature A,21.87699399
Feature A,18.34226152
Feature A,29.3021849
Feature A,36.83637775
Feature A,33.81674421
Feature A,27.04237546
Feature A,24.99487061
Feature A,31.62640054
Feature A,30.94412008
Feature A,33.77827048
Feature A,27.6252123
Feature A,35.39612432
Feature A,25.01513084
Feature A,28.0167318
Feature A,34.44488714
Feature A,35.93982965
Feature A,18.36897179
Feature A,30.64314244
Feature A,33.65267407
Feature A,21.29505412
Feature A,32.8837536
Feature A,25.03095438
Feature A,36.12151807
Feature A,33.23089219
Feature A,34.61431377
Feature A,30.72431598
Feature A,35.1818906
Feature A,38.28308717
Feature A,41.79748809
Feature A,29.82962967
Feature A,16.50569346
Feature A,30.18915603
Feature A,31.23336725
Feature A,29.06792792
Feature A,33.40973172
Feature A,36.06406779
Feature A,26.89210542
Feature A,28.23542804
Feature A,32.38705325
Feature A,26.69865755
Feature A,30.5476043
Feature A,18.22975441
Feature A,23.28060167
Feature A,22.03346715
Feature A,24.87825782
Feature A,25.84017283
Feature A,32.29383086
Feature A,35.89267802
Feature A,25.63569883
Feature A,24.01896611
Feature A,23.74986685
Feature A,27.51246764
Feature A,28.56582559
Feature A,32.9017052
Feature A,28.07205095
Feature A,17.52906439
Feature A,29.45139435
Feature A,37.12312086
Feature A,37.14960761
Feature A,25.26622069
Feature A,20.71334074
Feature A,44.74836295
Feature A,29.02546835
Feature A,29.4152925
Feature A,32.52344513
Feature A,20.31576326
Feature A,25.63068533
Feature A,20.75734557
Feature A,25.84143232
Feature A,30.7130966
Feature A,21.81174325
Feature A,33.53989608
Feature A,31.73606417
Feature A,24.57470985
Feature A,31.35794965
Feature A,34.48848697
Feature A,36.36657152
Feature A,28.72291033
Feature A,29.43817924
Feature A,29.47971519
Feature A,38.64877054
Feature A,36.75043135
Feature A,35.00640941
Feature A,28.2759552
Feature A,32.2394486
Feature A,32.41974199
Feature A,23.74996023
Feature A,19.63017291
Feature A,33.85098017
Feature A,20.82413681
Feature A,30.01010213
Feature A,31.50148693
Feature A,33.38320434
Feature A,31.13655743
Feature A,25.60287716
Feature A,35.91819516
Feature A,40.4318026
Feature A,35.28707285
Feature A,18.33809459
Feature A,38.39745711
Feature A,29.66366432
Feature A,33.14948568
Feature A,33.73219942
Feature A,29.41988356
Feature A,29.54842081
Feature A,36.11494242
Feature A,34.26961153
Feature A,35.94157348
Feature A,44.29756017
Feature A,33.98649518
Feature A,31.24428694
Feature A,16.73620134
Feature A,46.15028402
Feature A,27.10393907
Feature A,44.24840829
Feature A,32.24786141
Feature A,39.23058119
Feature A,29.34173807
Feature A,33.06882453
Feature A,31.28374788
Feature A,28.8832758
Feature A,29.27763705
Feature A,36.07700602
Feature A,28.79125112
Feature A,17.77390503
Feature A,28.82466451
Feature A,33.23874363
Feature A,33.6987343
Feature A,33.6994069
Feature A,19.84739087
Feature A,32.21245235
Feature A,35.80715526
Feature A,37.65947209
Feature A,28.65023237
Feature A,28.06864448
Feature A,38.92702699
Feature A,19.99243173
Feature A,27.37902014
Feature A,32.74477248
Feature A,20.29335741
Feature A,31.67776717
Feature A,41.26718413
Feature A,29.97563608
Feature A,28.32927585
Feature A,32.84947028
Feature A,28.32556698
Feature A,34.88040224
Feature A,35.42661279
Feature A,30.01614997
Feature A,22.93984705
Feature A,22.09067564
Feature A,26.44201581
Feature A,34.784283
Feature A,18.25076895
Feature A,18.68204905
Feature A,26.07732105
Feature A,32.36636909
Feature A,24.51860371
Feature A,35.32049422
Feature A,32.00021982
Feature A,28.97616229
Feature A,34.91296882
Feature A,32.33019098
Feature A,27.32438984
Feature A,31.38668961
Feature A,33.88508015
Feature B,38.13770007
Feature B,32.05193875
Feature B,41.13121323
Feature B,42.91761735
Feature B,37.65764734
Feature B,36.86462797
Feature B,35.54624952
Feature B,48.96849508
Feature B,37.65789319
Feature B,35.05023583
Feature B,20.95249319
Feature B,26.60830941
Feature B,35.5339608
Feature B,37.23776427
Feature B,37.66123475
Feature B,40.92904068
Feature B,34.83508554
Feature B,43.28753277
Feature B,30.47090374
Feature B,28.74934368
Feature B,28.62608293
Feature B,40.45378215
Feature B,35.50248035
Feature B,40.73890753
Feature B,34.39376147
Feature B,32.44864739
Feature B,33.78988455
Feature B,24.88429905
Feature B,28.98230844
Feature B,27.34779212
Feature B,42.32593363
Feature B,32.41601945
Feature B,40.73675912
Feature B,45.09894361
Feature B,34.84935115
Feature B,37.70327344
Feature B,25.49359488
Feature B,31.08798133
Feature B,36.3372891
Feature B,37.79452142
Feature B,31.4436113
Feature B,52.109154
Feature B,33.24965917
Feature B,36.38546134
Feature B,39.8987512
Feature B,35.84388819
Feature B,32.13859568
Feature B,42.27183398
Feature B,45.69327194
Feature B,35.82183617
Feature B,39.37360407
Feature B,35.41552501
Feature B,42.09873131
Feature B,29.06299563
Feature B,49.92516134
Feature B,32.37881251
Feature B,27.24690351
Feature B,33.89449304
Feature B,36.8802509
Feature B,45.74172725
Feature B,41.46725806
Feature B,36.85475059
Feature B,27.66309886
Feature B,30.80377353
Feature B,35.02029041
Feature B,51.31815668
Feature B,24.83863455
Feature B,42.78632791
Feature B,32.83659446
Feature B,45.9959454
Feature B,29.16479616
Feature B,36.86173941
Feature B,29.40269435
Feature B,41.42109856
Feature B,44.90267693
Feature B,47.70432604
Feature B,40.78560395
Feature B,47.05959753
Feature B,43.47854345
Feature B,35.20875053
Feature B,38.86222343
Feature B,30.16803473
Feature B,34.88878698
Feature B,43.32578225
Feature B,39.24770486
Feature B,38.74414399
Feature B,29.77121376
Feature B,32.37292062
Feature B,31.41236392
Feature B,38.37177522
Feature B,30.05695422
Feature B,39.37224834
Feature B,29.30150153
Feature B,46.97118275
Feature B,38.7635481
Feature B,31.79397833
Feature B,37.4462756
Feature B,33.8852808
Feature B,38.22688776
Feature B,37.46119631
Feature B,29.91531496
Feature B,31.25211673
Feature B,37.79756211
Feature B,45.83431145
Feature B,42.50770205
Feature B,32.25259516
Feature B,40.95553741
Feature B,35.70858988
Feature B,37.80788191
Feature B,37.56216894
Feature B,51.45269858
Feature B,28.88826714
Feature B,36.60551915
Feature B,25.32013627
Feature B,39.53901554
Feature B,42.57965083
Feature B,44.67397345
Feature B,24.44912849
Feature B,38.47661698
Feature B,45.56021971
Feature B,33.51590482
Feature B,34.72709681
Feature B,35.78077667
Feature B,38.19011251
Feature B,39.99095925
Feature B,43.9069253
Feature B,35.42707446
Feature B,37.17766827
Feature B,50.92798726
Feature B,38.58659357
Feature B,37.13251866
Feature B,27.94654125
Feature B,36.01713629
Feature B,34.67204308
Feature B,35.93372502
Feature B,32.54749415
Feature B,31.87910609
Feature B,31.67535821
Feature B,34.71297291
Feature B,44.20879589
Feature B,42.29451976
Feature B,33.84014929
Feature B,25.88450127
Feature B,30.93249943
Feature B,33.2534368
Feature B,36.62182803
Feature B,32.02435635
Feature B,48.04008414
Feature B,34.36639479
Feature B,28.71633318
Feature B,35.15242946
Feature B,29.96773451
Feature B,36.93693424
Feature B,37.40180168
Feature B,38.13352567
Feature B,26.26885045
Feature B,37.32426775
Feature B,37.86270048
Feature B,27.47334931
Feature B,41.73219384
Feature B,40.70502527
Feature B,49.79771617
Feature B,36.94021792
Feature B,36.28040117
Feature B,36.579515
Feature B,36.41859739
Feature B,24.90916335
Feature B,25.97323765
Feature B,35.5347662
Feature B,32.51359572
Feature B,36.32841915
Feature B,23.33274976
Feature B,27.00781047
Feature B,29.39109937
Feature B,41.91634933
Feature B,29.40905996
Feature B,31.20291628
Feature B,36.47924291
Feature B,34.06352183
Feature B,36.87850307
Feature B,49.83037189
Feature B,29.25237797
Feature B,34.16718216
Feature B,32.8994433
Feature B,45.07437256
Feature B,31.38309046
Feature B,35.50747858
Feature B,40.72280169
Feature B,29.64845678
Feature B,45.93105489
Feature B,40.05457449
Feature B,29.55476034
Feature B,38.72746685
Feature B,34.72015714
Feature B,37.87937263
Feature B,35.46014882
Feature B,42.42309622
Feature B,27.89339769
Feature B,32.86429982
Feature B,34.50485593
Feature B,30.02520765
Feature B,29.76026974
Feature B,35.89211856
Feature B,35.2069492
Feature B,20.70394335
Feature B,42.24344073
Feature B,37.49835442
Feature B,50.49724424
Feature B,40.11118943
Feature B,33.31824415
Feature B,52.78434688
Feature B,52.99335614
Feature B,28.6877291
Feature B,38.81419174
Feature B,34.73251849
Feature B,37.12230688
Feature B,37.36525637
Feature B,28.42859722
Feature B,37.71353748
Feature B,46.49548418
Feature B,35.01545998
Feature B,35.02243974
Feature B,44.39143204
Feature B,41.39037744
Feature B,26.10903109
Feature B,37.37134184
Feature B,45.92128341
Feature B,44.4916581
Feature B,38.51970962
Feature B,40.32732484
Feature B,28.81838873
Feature B,37.8007894
Feature B,30.27330639
Feature B,33.25189159
Feature B,41.6136221
Feature B,29.17864133
Feature B,37.60150951
Feature B,38.56999224
Feature B,36.32947182
Feature B,46.93313293
Feature B,29.86591603
Feature B,39.63678157
Feature B,35.4664166
Feature B,34.43500654
Feature B,38.7845474
Feature B,29.87759646
Feature B,28.1192945
Feature B,33.03311475
Feature B,46.5105429
Feature B,36.33458865
Feature B,37.98860639
Feature B,34.86092017
Feature B,38.82295639
Feature B,30.28992274
Feature B,42.9474628
Feature B,39.50823156
Feature B,31.16128306
Feature B,36.32731947
Feature B,40.29798972
Feature B,39.34638589
Feature B,44.8916041
Feature B,32.32207347
Feature B,42.69681969
Feature B,42.21928806
Feature B,35.02510121
Feature B,30.14443984
Feature B,29.46512885
Feature B,38.74672175
Feature B,35.5732396
Feature B,46.674616
Feature B,39.21082776
Feature B,33.76833075
Feature B,29.84674651
Feature B,32.50558995
Feature B,38.05733036
Feature B,33.29439212
Feature B,39.08538072
Feature B,33.99397169
Feature B,35.36664055
Feature B,31.61694196
Feature B,47.43026151
Feature B,37.99573039
Feature B,37.38380184
Feature B,25.84882551
Feature B,39.9587514
Feature B,29.85825847
Feature B,30.65087055
Feature B,41.51004703
Feature B,33.28379612
Feature B,25.50976632
Feature B,46.61942466
Feature B,21.73555845
Feature B,39.43686918
Feature B,42.10349549
Feature B,32.2141928
Feature B,38.66572231
Feature B,38.63478233
Feature B,42.24373892
Feature B,38.90459633
Feature B,34.53069733
Feature B,41.49595235
Feature B,40.80373414
Feature B,30.3805858
Feature B,27.5952754
Feature B,36.96166524
Feature B,34.35622575
Feature B,30.08676532
Feature B,36.50358408
Feature B,28.08002084
Feature B,36.96735811
Feature B,32.25042967
Feature B,41.74298565
Feature B,50.54693485
Feature B,30.50412454
Feature B,42.34598503
Feature B,40.95089837
Feature B,35.57883465
Feature B,33.27812176
Feature B,45.45184624
Feature B,23.96725309
Feature B,32.14083125
Feature B,27.37893934
Feature B,44.37188063
Feature B,34.8557794
Feature B,32.8519728
Feature B,55.10426684
Feature B,35.69977639
Feature B,33.33750413
Feature B,37.7991915
Feature B,26.58945228
Feature B,38.94181586
Feature B,35.42302079
Feature B,38.81115074
Feature B,30.10577618
Feature B,29.86209695
Feature B,31.83951202
Feature B,31.39206256
Feature B,43.7942998
Feature B,45.47487337
Feature B,35.05864828
Feature B,33.84638064
Feature B,34.02576702
Feature B,36.41541887
Feature B,36.5814254
Feature B,37.74020633
Feature B,31.51992635
Feature B,30.91862167
Feature B,43.18246598
Feature B,32.70823583
Feature B,37.81827417
Feature B,35.6581768
Feature B,30.25290365
Feature B,39.54637146
Feature B,37.03862924
Feature B,44.39870014
Feature B,36.70475751
Feature B,34.01072545
Feature B,37.66976948
Feature B,28.88645011
Feature B,30.98463568
Feature B,39.06163951
Feature B,34.00127459
Feature B,35.60423432
Feature B,35.30866974
Feature B,32.09692429
Feature B,23.88786805
Feature B,38.09300982
Feature B,40.56983705
Feature B,28.26770259
Feature B,44.89441631
Feature B,38.31092894
Feature B,44.04984177
Feature B,30.25697717
Feature B,37.00068773
Feature B,35.39991625
Feature B,40.61104459
Feature B,32.54484259
Feature B,35.93941397
Feature B,25.32804511
Feature B,31.33427134
Feature B,36.7502033
Feature B,31.76207105
Feature B,35.73858309
Feature B,33.19244416
Feature B,39.64158082
Feature B,43.01092985
Feature B,31.06499152
Feature B,34.15778065
Feature B,44.63856755
Feature B,22.80646047
Feature B,34.08097325
Feature B,48.3882257
Feature B,49.16154041
Feature B,36.93957194
Feature B,30.8183463
Feature B,36.99274452
Feature B,32.08335362
Feature B,44.71690369
Feature B,31.16110407
Feature B,38.23746957
Feature B,39.71910045
Feature B,31.45493904
Feature B,41.10914809
Feature B,31.51242017
Feature B,39.78143898
Feature B,42.5799698
Feature B,30.06934247
Feature B,42.64797025
Feature B,33.06280277
Feature B,37.76612033
Feature B,37.21102483
Feature B,33.43682168
Feature B,37.60861722
Feature B,28.61741445
Feature B,35.18317877
Feature B,40.95474499
Feature B,22.9552521
Feature B,27.07244288
Feature B,29.02837465
Feature B,26.46546184
Feature B,38.51749824
Feature B,30.0424299
Feature B,23.01271749
Feature B,32.17458741
Feature B,33.65618849
Feature B,41.14071284
Feature B,29.37748718
Feature B,42.96773553
Feature B,38.39017629
Feature B,38.17411295
Feature B,30.88484598
Feature B,47.72200728
Feature B,35.01437501
Feature B,25.05061449
Feature B,34.77686117
Feature B,24.39333558
Feature B,34.13693931
Feature B,33.46663798
Feature B,40.09097814
Feature B,42.05697711
Feature B,31.64337021
Feature B,40.83665321
Feature B,44.54593866
Feature B,31.29513597
Feature B,32.0855738
Feature B,39.90467018
Feature B,37.09828782
Feature B,39.29264976
Feature B,44.42810577
Feature B,38.32249872
Feature B,42.31020762
Feature B,39.73743277
Feature B,38.60172234
Feature B,38.31650663
Feature B,43.74793983
Feature B,29.98644076
Feature B,29.36890363
Feature B,39.55167602
Feature B,35.28186202
Feature B,36.44403127
Feature B,40.44766426
Feature B,40.51977029
Feature B,34.42397698
Feature B,34.12473679
Feature B,36.44159165
Feature B,42.37810674
Feature B,38.55612292
Feature B,44.59804506
Feature B,35.95417878
Feature B,42.75400563
Feature B,41.29801387
Feature B,39.67250077
